sig,COSMIC_1,COSMIC_5,COSMIC_4,COSMIC_2,COSMIC_3,COSMIC_6,COSMIC_7,COSMIC_8,COSMIC_9,COSMIC_10,COSMIC_11,COSMIC_12,COSMIC_13,COSMIC_14,COSMIC_15,COSMIC_16,COSMIC_17,COSMIC_18,COSMIC_19,COSMIC_20,COSMIC_21,COSMIC_22,COSMIC_23,COSMIC_24,COSMIC_25,COSMIC_26,COSMIC_27,COSMIC_28,COSMIC_29,COSMIC_30
Sig1,0.816,0.733,0.298,0.124,0.46,0.797,0.32,0.419,0.446,0.228,0.406,0.578,0.047,0.533,0.569,0.547,0.223,0.189,0.61,0.668,0.498,0.077,0.419,0.226,0.483,0.623,0.094,0.174,0.362,0.521
Sig2,0.674,0.765,0.323,0.158,0.577,0.638,0.322,0.486,0.516,0.206,0.401,0.637,0.063,0.454,0.458,0.625,0.282,0.219,0.571,0.609,0.464,0.105,0.368,0.233,0.529,0.617,0.117,0.244,0.36,0.485
Sig3,0.556,0.848,0.439,0.189,0.666,0.667,0.372,0.548,0.518,0.178,0.53,0.679,0.101,0.555,0.585,0.667,0.264,0.209,0.682,0.736,0.507,0.343,0.554,0.297,0.69,0.629,0.169,0.239,0.325,0.649
Sig4,0.576,0.741,0.362,0.593,0.652,0.534,0.514,0.494,0.479,0.248,0.487,0.56,0.535,0.413,0.42,0.662,0.236,0.246,0.579,0.512,0.412,0.152,0.375,0.302,0.569,0.551,0.155,0.191,0.361,0.636
Sig5,0.511,0.709,0.889,0.142,0.687,0.586,0.263,0.788,0.488,0.315,0.327,0.473,0.128,0.614,0.462,0.577,0.161,0.713,0.527,0.658,0.309,0.171,0.332,0.761,0.568,0.412,0.156,0.137,0.82,0.409
