Sig1,Sig2,Sig3,Sig4,Sig5
spontaneous deamination of 5-methylcytosine,Unknown,Unknown,Unknown,exposure to tobacco (smoking) mutagens
Best match: COSMIC_1 [similarity: 0.816],Best match: COSMIC_5 [similarity: 0.765],Best match: COSMIC_5 [similarity: 0.848],Best match: COSMIC_5 [similarity: 0.741],Best match: COSMIC_4 [similarity: 0.889]
