sig,SBS6,SBS5,SBS4,SBS1,SBS2,SBS3,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
Sig1,0.746,0.738,0.192,0.686,0.097,0.497,0.229,0.37,0.116,0.216,0.203,0.367,0.038,0.26,0.355,0.462,0.03,0.15,0.554,0.305,0.192,0.049,0.219,0.379,0.28,0.309,0.056,0.42,0.277,0.483,0.536,0.094,0.065,0.243,0.436,0.411,0.459,0.347,0.052,0.244,0.111,0.419,0.071,0.374,0.475,0.283,0.382,0.106,0.529,0.066,0.506,0.114,0.016,0.042,0.216,0.2,0.04,0.145,0.556,0.097,0.053,0.308,0.311,0.063,0.023,0.362,0.204,0.235,0.673,0.242,0.397,0.022
Sig2,0.578,0.759,0.227,0.533,0.134,0.59,0.245,0.374,0.17,0.244,0.272,0.443,0.054,0.229,0.365,0.536,0.045,0.148,0.419,0.356,0.311,0.074,0.241,0.36,0.254,0.291,0.094,0.37,0.264,0.529,0.562,0.117,0.094,0.237,0.401,0.415,0.442,0.316,0.083,0.257,0.133,0.516,0.083,0.432,0.557,0.334,0.35,0.481,0.46,0.078,0.609,0.24,0.014,0.042,0.353,0.458,0.054,0.154,0.499,0.389,0.073,0.367,0.457,0.066,0.351,0.33,0.3,0.241,0.58,0.297,0.545,0.061
Sig3,0.6,0.817,0.327,0.347,0.158,0.726,0.295,0.425,0.279,0.243,0.403,0.448,0.062,0.176,0.489,0.511,0.071,0.206,0.491,0.291,0.307,0.054,0.245,0.462,0.393,0.333,0.311,0.554,0.347,0.69,0.552,0.169,0.07,0.24,0.561,0.512,0.522,0.375,0.145,0.447,0.152,0.445,0.113,0.488,0.654,0.402,0.605,0.182,0.672,0.123,0.616,0.199,0.024,0.062,0.259,0.302,0.057,0.171,0.531,0.134,0.084,0.389,0.39,0.087,0.047,0.547,0.33,0.283,0.416,0.265,0.585,0.142
Sig4,0.495,0.798,0.265,0.394,0.518,0.637,0.513,0.46,0.207,0.238,0.296,0.399,0.072,0.318,0.431,0.435,0.439,0.12,0.386,0.381,0.181,0.05,0.267,0.424,0.225,0.266,0.149,0.379,0.281,0.569,0.462,0.155,0.088,0.246,0.542,0.425,0.47,0.304,0.12,0.314,0.18,0.424,0.073,0.568,0.722,0.449,0.366,0.113,0.411,0.079,0.482,0.305,0.04,0.044,0.399,0.346,0.094,0.135,0.407,0.126,0.095,0.401,0.582,0.048,0.03,0.315,0.347,0.441,0.488,0.28,0.563,0.104
Sig5,0.442,0.641,0.87,0.324,0.106,0.727,0.2,0.307,0.149,0.16,0.703,0.359,0.243,0.195,0.282,0.293,0.129,0.498,0.438,0.258,0.122,0.038,0.73,0.306,0.579,0.211,0.153,0.332,0.71,0.568,0.315,0.156,0.068,0.782,0.336,0.443,0.359,0.231,0.091,0.612,0.591,0.285,0.587,0.446,0.726,0.263,0.534,0.117,0.52,0.688,0.396,0.273,0.101,0.346,0.428,0.365,0.326,0.487,0.321,0.099,0.342,0.283,0.347,0.26,0.027,0.313,0.205,0.251,0.414,0.175,0.625,0.083
