Samples	SBS1	SBS2	SBS4	SBS5	SBS13	SBS26	SBS43	SBS58
CRUK0029_SU_T1-R7	2	0	0	107	0	0	75	41
CRUK0029_SU_T1-R8	78	0	0	470	0	151	0	0
CRUK0030_SU_T2-R1	0	0	0	47	0	0	70	123
CRUK0030_SU_T2-R2	13	0	0	218	0	0	34	0
CRUK0030_SU_T2-R3	20	0	0	242	0	0	98	0
CRUK0031_SU_T1-R1	187	0	0	1578	0	290	0	0
CRUK0031_SU_T1-R2	67	0	0	1223	0	0	0	0
CRUK0031_SU_T1-R3	99	0	0	1571	0	0	246	0
CRUK0032_SU_T1-R1	4	0	0	48	0	0	152	49
CRUK0032_SU_T1-R2	13	0	0	542	0	0	0	0
CRUK0032_SU_T1-R3	28	0	0	272	0	0	144	0
CRUK0032_SU_T1-R4	3	0	139	413	0	0	0	0
CRUK0033_SU_T1-R1	32	0	0	304	0	80	0	0
CRUK0033_SU_T1-R2	42	0	0	391	0	0	135	0
CRUK0034_SU_T1-R1	5	0	0	115	0	0	94	0
CRUK0034_SU_T1-R2	18	0	226	312	0	0	0	0
CRUK0034_SU_T1-R3	26	0	0	461	0	0	0	0
CRUK0035_SU_T1-R1	8	0	0	85	0	0	30	0
CRUK0035_SU_T1-R2	0	0	0	78	0	0	100	0
CRUK0035_SU_T1-R3	4	0	0	164	0	0	0	0
CRUK0036_SU_T1-R1	0	0	0	143	0	0	0	0
CRUK0036_SU_T1-R2	23	0	0	443	0	0	0	121
CRUK0036_SU_T1-R3	14	0	0	200	0	61	0	0
CRUK0036_SU_T1-R4	9	0	0	191	0	0	0	0
CRUK0037_SU_T1-R1	25	0	0	727	0	0	0	0
CRUK0037_SU_T1-R2	24	0	104	306	0	0	0	0
CRUK0037_SU_T1-R3	39	0	0	298	0	70	0	0
CRUK0037_SU_T1-R4	29	0	0	363	0	0	0	89
CRUK0037_SU_T1-R5	43	0	0	594	0	0	0	0
CRUK0038_SU_T1-R1	6	0	0	41	0	0	155	106
CRUK0038_SU_T1-R2	11	0	0	107	0	0	141	0
CRUK0039_SU_T1-R1	6	53	202	233	79	0	0	0
CRUK0039_SU_T1-R2	3	30	215	296	55	0	0	0
CRUK0039_SU_T1-R3	20	42	177	296	54	0	0	0
CRUK0040_SU_T1-R1	5	0	0	137	0	0	0	0
CRUK0040_SU_T1-R2	6	0	0	163	0	0	0	50
CRUK0041_SU_T1-R1	52	0	0	664	0	0	0	0
CRUK0041_SU_T1-R2	25	0	0	520	0	0	110	0
CRUK0041_SU_T1-R3	79	0	0	842	0	168	0	0
CRUK0041_SU_T1-R4	16	0	0	120	0	57	63	0
CRUK0042_SU_T1-R1	1	0	0	109	0	0	0	0
CRUK0042_SU_T1-R2	2	0	0	36	0	0	0	0
CRUK0043_SU_T1-R1	33	0	0	241	0	0	135	90
CRUK0043_SU_T1-R2	12	0	0	369	0	0	122	187
CRUK0044_SU_T1-R1	3	0	97	43	0	0	30	0
CRUK0044_SU_T1-R2	3	0	0	11	0	0	0	0
CRUK0045_SU_T1-R1	6	0	0	44	0	0	47	0
CRUK0045_SU_T1-R2	14	0	0	46	0	0	76	0
CRUK0045_SU_T1-R3	3	0	0	81	0	0	0	27
CRUK0046_SU_T1-R1	47	0	0	505	0	0	0	0
CRUK0046_SU_T1-R2	4	0	0	236	0	0	0	0
CRUK0046_SU_T1-R3	19	0	0	360	0	0	0	0
CRUK0046_SU_T1-R4	16	0	0	287	0	0	0	72
CRUK0047_SU_T1-R1	11	0	0	181	0	43	0	0
CRUK0047_SU_T1-R2	45	0	0	287	0	96	70	100
CRUK0048_SU_T1-R1	5	0	0	65	0	0	202	0
CRUK0048_SU_T1-R2	81	0	0	769	0	231	0	0
CRUK0048_SU_T1-R3	45	0	0	519	0	0	277	0
CRUK0049_SU_T1-R1	3	0	239	117	0	0	89	252
CRUK0049_SU_T1-R2	6	0	217	208	0	0	0	230
CRUK0050_SU_T1-R1	17	0	0	173	0	0	31	0
CRUK0050_SU_T1-R2	3	0	0	191	0	57	0	0
CRUK0050_SU_T1-R3	8	0	0	153	0	0	33	0
CRUK0050_SU_T1-R4	1	0	0	52	0	0	0	0
CRUK0050_SU_T1-R5	7	0	0	189	0	0	42	0
CRUK0051_SU_T1-R2	0	0	96	273	0	0	0	0
CRUK0051_SU_T1-R3	42	0	0	736	0	0	0	0
CRUK0051_SU_T1-R4	10	0	112	141	0	0	46	0
CRUK0052_SU_T1-R1	12	0	235	462	0	0	0	0
CRUK0052_SU_T1-R2	0	0	70	119	0	0	0	71
CRUK0052_SU_T1-R3	9	0	0	0	0	0	107	76
CRUK0052_SU_T1-R4	7	32	212	170	50	0	0	0
CRUK0053_SU_T1-R1	68	0	414	1270	0	0	0	0
CRUK0053_SU_T1-R2	115	0	0	2014	0	380	0	0
CRUK0054_SU_T1-R1	2	0	0	207	0	0	0	67
CRUK0054_SU_T1-R2	36	0	0	318	0	79	0	0
CRUK0055_SU_T1-R1	12	0	0	24	0	0	77	39
CRUK0055_SU_T1-R2	29	0	0	355	0	0	143	179
CRUK0055_SU_T1-R3	5	0	169	52	0	0	0	112
CRUK0055_SU_T1-R4	10	0	207	132	0	0	0	0
CRUK0056_SU_T1-R1	6	0	0	118	0	0	75	78
CRUK0056_SU_T1-R2	15	0	0	308	0	0	0	0
CRUK0056_SU_T1-R3	0	0	0	309	0	0	0	95
CRUK0057_SU_T1-R1	14	0	227	371	0	0	0	0
CRUK0057_SU_T1-R2	33	0	0	256	0	0	355	0
CRUK0058_SU_T1-R1	60	0	0	541	0	156	0	0
CRUK0058_SU_T1-R2	36	0	0	736	0	0	0	0
CRUK0059_SU_T1-R1	7	0	0	141	0	0	0	0
CRUK0059_SU_T1-R2	8	0	0	92	0	0	0	55
CRUK0060_SU_T1-R1	0	0	434	246	0	0	0	0
CRUK0060_SU_T1-R2	3	0	69	87	0	0	32	0
CRUK0061_SU_T1-R1	55	0	0	561	0	0	82	0
CRUK0061_SU_T1-R2	8	0	0	47	0	0	0	0
CRUK0062_SU_T1-R1	177	0	0	1301	0	334	0	0
CRUK0062_SU_T1-R2	180	0	0	1739	0	326	0	0
CRUK0062_SU_T1-R3	115	0	0	1578	0	0	0	0
CRUK0062_SU_T1-R4	248	0	0	1899	0	463	0	0
CRUK0062_SU_T1-R5	67	0	0	678	0	145	0	0
CRUK0062_SU_T1-R6	1	0	0	287	0	0	0	0
CRUK0062_SU_T1-R7	264	0	0	2166	0	521	0	0
CRUK0063_SU_T1-R3	10	0	0	58	0	0	76	54
CRUK0063_SU_T1-R4	19	0	0	298	55	0	0	0
CRUK0063_SU_T1-R5	20	15	0	389	36	0	0	0
CRUK0063_SU_T1-R6	8	0	0	27	0	0	61	0
CRUK0063_SU_T1-R7	3	0	0	56	0	0	0	0
CRUK0064_SU_T1-R1	7	0	0	169	0	0	0	81
CRUK0064_SU_T1-R2	0	0	0	106	0	0	0	0
CRUK0065_SU_T1-R1	118	0	0	1283	0	302	0	0
CRUK0065_SU_T1-R2	95	0	0	1306	0	0	0	0
CRUK0065_SU_T1-R3	16	0	0	572	0	0	0	0
CRUK0065_SU_T1-R4	28	0	0	768	0	0	0	0
CRUK0065_SU_T1-R5	60	0	0	878	0	0	0	0
CRUK0065_SU_T1-R6	89	0	0	935	0	207	0	0
CRUK0065_SU_T1-R7	6	0	48	148	0	0	0	0
CRUK0066_SU_T1-R1	6	0	0	140	0	0	84	214
CRUK0066_SU_T1-R2	10	0	0	103	0	0	0	0
CRUK0066_SU_T1-R3	0	0	0	106	0	0	0	74
CRUK0066_SU_T1-R4	61	0	0	749	0	0	0	324
CRUK0067_SU_T1-R1	13	0	0	391	0	0	171	243
CRUK0067_SU_T1-R3	24	0	0	773	0	0	0	345
CRUK0068_SU_T1-R1	4	16	106	249	40	0	0	0
CRUK0068_SU_T1-R2	5	0	0	30	0	33	38	0
CRUK0068_SU_T1-R3	0	0	105	306	0	0	0	0
CRUK0068_SU_T1-R4	0	0	72	167	0	0	0	0
CRUK0069_SU_T1-R1	13	0	84	340	0	0	0	0
CRUK0069_SU_T1-R2	7	0	84	295	0	0	0	0
CRUK0069_SU_T1-R3	31	0	0	277	0	0	77	0
CRUK0069_SU_T1-R4	1	0	0	387	0	0	0	0
CRUK0069_SU_T1-R5	0	0	83	332	0	0	0	0
CRUK0070_SU_T1-R1	260	0	0	2067	0	517	0	0
CRUK0070_SU_T1-R2	181	0	0	1377	0	360	193	0
CRUK0070_SU_T1-R4	61	0	0	1242	0	0	0	0
CRUK0070_SU_T1-R6	69	0	0	895	0	0	0	215
CRUK0070_SU_T1-R7	0	0	0	2	0	0	118	54
CRUK0071_SU_T1-R1	158	0	0	1119	0	301	0	0
CRUK0071_SU_T1-R2	40	0	0	337	0	84	0	0
CRUK0071_SU_T1-R3	63	0	0	390	0	91	0	0
CRUK0071_SU_T1-R5	7	0	0	11	0	0	86	0
CRUK0071_SU_T1-R6	3	0	0	333	0	0	0	0
CRUK0071_SU_T1-R7	129	0	0	1038	0	239	0	0
CRUK0072_SU_T1-R1	60	0	0	610	0	152	0	0
CRUK0072_SU_T1-R2	210	0	0	1565	0	412	0	0
CRUK0072_SU_T1-R3	10	0	0	189	0	0	0	97
CRUK0072_SU_T1-R4	175	0	0	1455	0	391	0	0
CRUK0073_SU_T1-R1	209	0	0	3151	0	0	0	0
CRUK0073_SU_T1-R2	69	0	0	652	0	0	0	167
CRUK0074_SU_T1-R1	46	118	0	731	74	0	0	0
CRUK0074_SU_T1-R2	2	35	0	207	21	0	0	87
CRUK0074_SU_T1-R3	0	0	0	93	0	0	0	102
CRUK0075_SU_T1-R1	0	0	108	160	0	0	0	72
CRUK0075_SU_T1-R2	65	0	0	1019	0	0	0	0
CRUK0076_SU_T1-R1	91	0	0	734	0	159	100	0
CRUK0076_SU_T1-R2	88	0	0	1104	0	213	0	0
CRUK0076_SU_T1-R3	18	0	0	842	0	0	0	0
CRUK0076_SU_T1-R4	49	0	0	952	0	0	0	0
CRUK0077_SU_T1-R1	7	0	0	420	0	0	0	0
CRUK0077_SU_T1-R2	160	0	0	917	0	339	0	0
CRUK0077_SU_T1-R3	315	0	0	2385	0	736	0	0
CRUK0078_SU_T1-R2	27	0	0	203	0	0	83	0
CRUK0078_SU_T1-R3	3	0	0	51	0	0	104	0
