Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0001_SU_T1-R1	1.53E+00	8.65E-01	1.04E+00	1.33E+00
CRUK0001_SU_T1-R2	1.46E+00	7.65E-01	9.17E-01	1.20E+00
CRUK0001_SU_T1-R3	1.77E+00	1.51E+00	1.92E+00	2.54E-01
CRUK0002_SU_T1-R1	2.39E+00	1.74E+00	3.23E+00	1.52E+00
CRUK0002_SU_T1-R2	1.83E+00	2.00E+00	3.07E+00	1.64E+00
CRUK0002_SU_T1-R3	1.43E+00	3.94E-01	1.41E+00	1.56E+00
CRUK0003_SU_T1-R1	1.73E+00	1.56E+00	1.26E+00	8.91E-01
CRUK0003_SU_T1-R2	1.47E+00	7.76E-01	6.40E-01	1.51E+00
CRUK0003_SU_T1-R3	1.79E+00	8.40E-01	8.94E-01	1.76E+00
CRUK0003_SU_T1-R4	1.79E+00	1.19E+00	1.26E+00	1.09E+00
CRUK0003_SU_T1-R6	1.63E+00	1.05E+00	8.37E-01	1.54E+00
CRUK0004_SU_T1-R1	1.57E+00	1.11E+00	1.24E+00	1.51E+00
CRUK0004_SU_T1-R2	8.57E-01	6.57E-01	4.58E-01	5.12E-01
CRUK0004_SU_T1-R3	1.54E+00	9.70E-01	1.08E+00	9.47E-01
CRUK0004_SU_T1-R4	1.19E+00	8.93E-01	6.18E-01	6.99E-01
CRUK0005_SU_T1-R1	1.08E+00	1.12E+00	9.18E-01	7.01E-01
CRUK0005_SU_T1-R2	1.68E+00	1.78E+00	1.30E+00	7.97E-01
CRUK0005_SU_T1-R3	1.64E+00	1.67E+00	1.11E+00	6.23E-01
CRUK0005_SU_T1-R4	1.66E+00	1.63E+00	1.16E+00	7.94E-01
CRUK0006_SU_T1-R1	2.51E+00	2.41E+00	3.11E+00	7.51E-01
CRUK0006_SU_T1-R2	2.29E+00	2.20E+00	2.85E+00	4.89E-01
CRUK0007_SU_T1-R1	6.72E-01	4.00E-02	6.08E-01	6.51E-01
CRUK0007_SU_T1-R2	1.56E+00	1.51E+00	2.05E+00	5.81E-01
CRUK0008_SU_T1-R1	1.51E+00	8.19E-01	8.67E-01	1.12E+00
CRUK0008_SU_T1-R2	1.70E+00	1.55E+00	2.00E+00	1.05E+00
CRUK0009_SU_T1-R1	5.95E+00	5.50E+00	5.51E+00	1.83E+00
CRUK0009_SU_T1-R2	2.53E+00	2.95E+00	2.63E+00	1.04E+00
CRUK0009_SU_T1-R3	2.35E+00	2.01E+00	2.25E+00	7.01E-01
CRUK0009_SU_T1-R4	3.35E+00	2.81E+00	3.04E+00	1.03E+00
CRUK0010_SU_T1-R1	4.34E+00	3.61E+00	4.37E+00	1.72E+00
CRUK0010_SU_T1-R2	2.45E+00	1.93E+00	2.32E+00	1.90E+00
CRUK0011_SU_T1-R1	1.78E+00	1.57E+00	1.00E+00	5.81E-01
CRUK0011_SU_T1-R2	1.68E+00	1.95E+00	1.59E+00	6.05E-01
CRUK0011_SU_T1-R3	1.59E+00	1.30E+00	1.70E+00	1.18E+00
CRUK0012_SU_T1-R1	1.22E+00	1.19E+00	1.22E+00	1.00E-02
CRUK0012_SU_T1-R2	7.38E-01	6.02E-01	8.05E-01	2.09E-01
CRUK0013_SU_T1-R1	2.34E+00	1.71E+00	1.87E+00	1.60E+00
CRUK0013_SU_T1-R2	1.91E+00	1.65E+00	1.72E+00	1.38E+00
CRUK0013_SU_T1-R3	3.83E+00	3.38E+00	3.36E+00	1.05E+00
CRUK0014_SU_T1-R1	1.25E+00	1.10E+00	1.42E+00	7.85E-01
CRUK0014_SU_T1-R2	1.18E+00	5.52E-01	9.24E-01	1.04E+00
CRUK0015_SU_T1-R1	1.53E+00	1.27E+00	1.13E+00	1.07E+00
CRUK0015_SU_T1-R2	1.07E+00	9.26E-01	5.15E-01	6.95E-01
CRUK0016_SU_T1-R1	3.55E+00	2.58E+00	2.84E+00	2.13E+00
CRUK0016_SU_T1-R2	5.06E+00	5.92E+00	7.67E+00	8.69E-01
CRUK0017_SU_T1-R1	1.52E+00	1.24E+00	1.22E+00	2.46E-01
CRUK0017_SU_T1-R2	1.47E+00	1.71E+00	1.58E+00	6.02E-01
CRUK0017_SU_T1-R3	1.88E+00	1.99E+00	2.25E+00	7.64E-01
CRUK0017_SU_T1-R4	2.18E+00	2.12E+00	2.23E+00	1.59E+00
CRUK0018_SU_T1-R1	2.35E+00	2.06E+00	1.25E+00	2.54E+00
CRUK0018_SU_T1-R2	2.10E+00	1.89E+00	1.61E+00	1.40E+00
CRUK0018_SU_T1-R3	1.60E+00	1.75E+00	1.14E+00	1.03E+00
CRUK0018_SU_T1-R4	1.63E+00	1.71E+00	1.30E+00	9.44E-01
CRUK0019_SU_T1-R1	1.82E+00	1.70E+00	2.60E+00	1.33E+00
CRUK0019_SU_T1-R2	3.54E+00	3.50E+00	3.88E+00	2.29E+00
CRUK0020_SU_T1-R1	4.15E+00	4.16E+00	5.38E+00	5.10E-01
CRUK0020_SU_T1-R2	2.63E+00	2.68E+00	1.90E+00	1.03E+00
CRUK0021_SU_T1-R1	7.21E-01	5.98E-01	5.59E-01	4.88E-01
CRUK0021_SU_T1-R2	1.36E+00	1.15E+00	1.13E+00	8.41E-01
CRUK0022_SU_T1-R1	2.08E+00	1.82E+00	1.90E+00	1.57E+00
CRUK0022_SU_T1-R2	1.54E+00	1.05E+00	1.58E+00	1.42E+00
CRUK0023_SU_T1-R1	1.16E+00	1.15E+00	7.89E-01	4.63E-01
CRUK0023_SU_T1-R2	1.84E+00	1.47E+00	1.30E+00	8.34E-01
CRUK0023_SU_T1-R3	1.48E+00	1.36E+00	1.20E+00	7.83E-01
CRUK0023_SU_T1-R4	7.58E-01	7.16E-01	4.38E-01	3.99E-01
CRUK0024_SU_T1-R1	2.00E+00	1.89E+00	1.06E+00	5.20E-01
CRUK0024_SU_T1-R2	3.72E-01	2.29E-01	2.03E-01	3.43E-01
CRUK0024_SU_T1-R3	2.73E+00	2.45E+00	1.63E+00	1.18E+00
CRUK0024_SU_T1-R4	2.16E+00	2.08E+00	1.56E+00	9.26E-01
CRUK0024_SU_T1-R6	2.49E+00	2.59E+00	1.58E+00	8.38E-01
CRUK0025_SU_T1-R1	3.24E+00	2.81E+00	2.88E+00	1.28E+00
CRUK0025_SU_T1-R2	4.54E+00	4.20E+00	4.26E+00	1.76E+00
