Samples	SBS96A	SBS96B	SBS96C
CRUK0049_SU_T1-R1	81	457	162
CRUK0049_SU_T1-R2	170	458	33
CRUK0050_SU_T1-R1	152	32	37
CRUK0050_SU_T1-R2	149	57	45
CRUK0050_SU_T1-R3	97	60	37
CRUK0050_SU_T1-R4	46	4	3
CRUK0050_SU_T1-R5	129	56	53
CRUK0051_SU_T1-R2	137	191	41
CRUK0051_SU_T1-R3	543	200	35
CRUK0051_SU_T1-R4	75	181	53
CRUK0052_SU_T1-R1	212	456	41
CRUK0052_SU_T1-R2	64	161	35
CRUK0052_SU_T1-R3	30	10	152
CRUK0052_SU_T1-R4	61	407	3
CRUK0053_SU_T1-R1	956	720	76
CRUK0053_SU_T1-R2	1740	651	118
CRUK0054_SU_T1-R1	112	122	42
CRUK0054_SU_T1-R2	349	48	36
CRUK0055_SU_T1-R1	40	3	109
CRUK0055_SU_T1-R2	330	157	219
CRUK0055_SU_T1-R3	29	273	36
CRUK0055_SU_T1-R4	76	273	0
CRUK0056_SU_T1-R1	105	64	108
CRUK0056_SU_T1-R2	254	56	13
CRUK0056_SU_T1-R3	174	204	26
CRUK0057_SU_T1-R1	234	323	55
CRUK0057_SU_T1-R2	195	0	449
CRUK0058_SU_T1-R1	623	88	46
CRUK0058_SU_T1-R2	557	153	62
CRUK0059_SU_T1-R1	93	37	18
CRUK0059_SU_T1-R2	81	55	19
CRUK0060_SU_T1-R1	73	584	23
CRUK0060_SU_T1-R2	48	103	40
CRUK0061_SU_T1-R1	502	97	99
CRUK0061_SU_T1-R2	50	3	2
CRUK0062_SU_T1-R1	1553	192	67
CRUK0062_SU_T1-R2	1817	392	36
CRUK0062_SU_T1-R3	1402	255	36
CRUK0062_SU_T1-R4	2256	270	84
CRUK0062_SU_T1-R5	705	136	49
CRUK0062_SU_T1-R6	181	89	18
CRUK0062_SU_T1-R7	2458	410	83
CRUK0063_SU_T1-R3	56	41	101
CRUK0063_SU_T1-R4	216	137	19
CRUK0063_SU_T1-R5	275	160	25
CRUK0063_SU_T1-R6	26	0	70
CRUK0063_SU_T1-R7	51	8	0
CRUK0064_SU_T1-R1	103	132	22
CRUK0064_SU_T1-R2	70	25	11
CRUK0065_SU_T1-R1	1430	246	27
CRUK0065_SU_T1-R2	1141	215	45
CRUK0065_SU_T1-R3	359	208	21
CRUK0065_SU_T1-R4	538	212	46
CRUK0065_SU_T1-R5	661	260	17
CRUK0065_SU_T1-R6	994	227	10
CRUK0065_SU_T1-R7	103	99	0
CRUK0066_SU_T1-R1	110	196	138
CRUK0066_SU_T1-R2	89	22	2
CRUK0066_SU_T1-R3	43	113	24
CRUK0066_SU_T1-R4	633	354	147
CRUK0067_SU_T1-R1	319	245	254
CRUK0067_SU_T1-R3	630	387	125
CRUK0068_SU_T1-R1	142	263	10
CRUK0068_SU_T1-R2	55	0	51
CRUK0068_SU_T1-R3	131	230	50
CRUK0068_SU_T1-R4	62	148	29
CRUK0069_SU_T1-R1	225	189	23
CRUK0069_SU_T1-R2	169	189	28
CRUK0069_SU_T1-R3	289	13	83
CRUK0069_SU_T1-R4	219	154	15
CRUK0069_SU_T1-R5	194	181	40
CRUK0070_SU_T1-R1	2262	333	249
CRUK0070_SU_T1-R2	1671	175	265
CRUK0070_SU_T1-R4	874	350	79
CRUK0070_SU_T1-R6	781	297	101
CRUK0070_SU_T1-R7	0	0	174
CRUK0071_SU_T1-R1	1321	229	28
CRUK0071_SU_T1-R2	340	105	16
CRUK0071_SU_T1-R3	472	60	12
CRUK0071_SU_T1-R5	10	0	94
CRUK0071_SU_T1-R6	203	125	8
CRUK0071_SU_T1-R7	1161	207	38
CRUK0072_SU_T1-R1	580	176	66
CRUK0072_SU_T1-R2	1865	251	71
CRUK0072_SU_T1-R3	135	109	52
CRUK0072_SU_T1-R4	1736	237	48
CRUK0073_SU_T1-R1	2600	683	77
CRUK0073_SU_T1-R2	612	233	43
CRUK0074_SU_T1-R1	467	459	43
CRUK0074_SU_T1-R2	117	199	36
CRUK0074_SU_T1-R3	53	107	35
CRUK0075_SU_T1-R1	77	225	38
CRUK0075_SU_T1-R2	730	326	28
CRUK0076_SU_T1-R1	856	105	123
CRUK0076_SU_T1-R2	1087	292	26
CRUK0076_SU_T1-R3	528	304	28
CRUK0076_SU_T1-R4	724	265	12
CRUK0077_SU_T1-R1	259	136	32
CRUK0077_SU_T1-R2	1252	107	57
CRUK0077_SU_T1-R3	2950	328	158
CRUK0078_SU_T1-R2	211	0	102
CRUK0078_SU_T1-R3	22	0	136
CRUK0078_SU_T1-R4	79	4	4
CRUK0079_SU_T1-R1	520	61	41
CRUK0079_SU_T1-R2	822	172	29
CRUK0079_SU_T1-R3	858	237	62
CRUK0079_SU_T1-R4	909	187	44
CRUK0080_SU_T1-R2	40	38	103
CRUK0080_SU_T1-R3	134	0	46
CRUK0080_SU_T1-R4	181	18	74
CRUK0080_SU_T1-R5	190	120	23
CRUK0080_SU_T1-R6	149	45	130
CRUK0081_SU_T1-R1	79	55	9
CRUK0081_SU_T1-R5	269	142	29
CRUK0081_SU_T1-R6	39	0	4
CRUK0082_SU_T1-R1	735	109	0
CRUK0082_SU_T1-R2	471	50	3
CRUK0082_SU_T1-R3	224	36	0
CRUK0082_SU_T1-R4	807	195	65
CRUK0082_SU_T1-R5	275	163	44
CRUK0083_SU_T1-R1	1127	383	45
CRUK0083_SU_T1-R2	1247	462	112
CRUK0083_SU_T1-R3	719	510	32
CRUK0083_SU_T1-R4	2460	328	256
CRUK0084_SU_T1-R1	750	108	11
CRUK0084_SU_T1-R2	733	141	39
CRUK0084_SU_T1-R3	364	39	88
CRUK0084_SU_T1-R4	531	97	5
CRUK0085_SU_T1-R1	89	277	12
CRUK0085_SU_T1-R2	236	507	20
CRUK0085_SU_T1-R3	112	601	42
CRUK0085_SU_T1-R4	495	523	43
CRUK0086_SU_T1-R1	92	216	40
CRUK0086_SU_T1-R2	437	289	51
CRUK0086_SU_T1-R4	45	261	37
CRUK0087_SU_T1-R1	65	285	54
CRUK0087_SU_T1-R2	60	274	26
CRUK0087_SU_T1-R3	80	170	11
CRUK0088_SU_T1-R1	124	179	14
CRUK0088_SU_T1-R2	311	210	50
CRUK0089_SU_T1-R1	19	11	5
CRUK0089_SU_T1-R2	22	346	22
CRUK0090_SU_T1-R1	965	63	127
CRUK0090_SU_T1-R2	1336	321	51
CRUK0091_SU_T1-R1	48	1	17
CRUK0091_SU_T1-R2	129	70	9
CRUK0092_SU_T1-R1	182	68	30
CRUK0092_SU_T1-R2	64	11	19
CRUK0093_SU_T1-R1	100	22	0
CRUK0093_SU_T1-R2	64	288	33
CRUK0094_SU_T1-R1	106	41	28
CRUK0094_SU_T1-R2	151	38	22
CRUK0094_SU_T1-R3	102	54	26
