Samples	SBS96A	SBS96B	SBS96C
CRUK0043_SU_T1-R1	1.96E+00	1.63E+00	1.70E+00
CRUK0043_SU_T1-R2	2.36E+00	2.17E+00	2.41E+00
CRUK0044_SU_T1-R1	7.58E-01	9.56E-01	9.35E-01
CRUK0044_SU_T1-R2	1.58E-01	1.36E-01	1.34E-01
CRUK0045_SU_T1-R1	7.98E-01	4.67E-01	8.66E-01
CRUK0045_SU_T1-R2	1.09E+00	2.96E-01	1.12E+00
CRUK0045_SU_T1-R3	8.71E-01	8.70E-01	7.83E-01
CRUK0046_SU_T1-R1	1.57E+00	1.47E+00	1.04E+00
CRUK0046_SU_T1-R2	1.25E+00	1.22E+00	1.04E+00
CRUK0046_SU_T1-R3	1.63E+00	1.60E+00	1.03E+00
CRUK0046_SU_T1-R4	1.74E+00	1.74E+00	1.20E+00
CRUK0047_SU_T1-R1	1.00E+00	1.00E+00	0.00E+00
CRUK0047_SU_T1-R2	2.14E+00	1.65E+00	1.85E+00
CRUK0048_SU_T1-R1	1.56E+00	3.51E-01	1.66E+00
CRUK0048_SU_T1-R2	2.28E+00	2.16E+00	8.25E-01
CRUK0048_SU_T1-R3	3.08E+00	1.62E+00	2.92E+00
CRUK0049_SU_T1-R1	2.36E+00	2.59E+00	2.03E+00
CRUK0049_SU_T1-R2	2.43E+00	2.53E+00	7.83E-01
CRUK0050_SU_T1-R1	1.24E+00	1.02E+00	1.01E+00
CRUK0050_SU_T1-R2	1.39E+00	1.22E+00	1.04E+00
CRUK0050_SU_T1-R3	1.13E+00	1.18E+00	9.32E-01
CRUK0050_SU_T1-R4	4.51E-01	3.35E-01	2.77E-01
CRUK0050_SU_T1-R5	1.37E+00	9.59E-01	1.04E+00
CRUK0051_SU_T1-R2	1.85E+00	2.01E+00	1.23E+00
CRUK0051_SU_T1-R3	2.19E+00	2.18E+00	1.04E+00
CRUK0051_SU_T1-R4	1.38E+00	1.58E+00	1.23E+00
CRUK0052_SU_T1-R1	2.37E+00	2.54E+00	1.17E+00
CRUK0052_SU_T1-R2	1.32E+00	1.34E+00	1.03E+00
CRUK0052_SU_T1-R3	1.15E+00	1.79E-01	1.14E+00
CRUK0052_SU_T1-R4	1.77E+00	1.87E+00	4.93E-01
CRUK0053_SU_T1-R1	3.94E+00	3.79E+00	1.60E+00
CRUK0053_SU_T1-R2	4.17E+00	4.06E+00	1.76E+00
CRUK0054_SU_T1-R1	1.39E+00	1.29E+00	9.71E-01
CRUK0054_SU_T1-R2	1.56E+00	1.35E+00	1.01E+00
CRUK0055_SU_T1-R1	9.84E-01	6.90E-01	1.28E+00
CRUK0055_SU_T1-R2	2.16E+00	1.94E+00	2.04E+00
CRUK0055_SU_T1-R3	1.33E+00	1.45E+00	8.81E-01
CRUK0055_SU_T1-R4	1.62E+00	1.62E+00	0.00E+00
CRUK0056_SU_T1-R1	1.49E+00	1.12E+00	1.61E+00
CRUK0056_SU_T1-R2	1.39E+00	1.22E+00	8.19E-01
CRUK0056_SU_T1-R3	1.86E+00	1.78E+00	8.91E-01
CRUK0057_SU_T1-R1	2.08E+00	2.05E+00	1.34E+00
CRUK0057_SU_T1-R2	2.68E+00	1.20E+00	2.77E+00
CRUK0058_SU_T1-R1	1.93E+00	1.82E+00	1.21E+00
CRUK0058_SU_T1-R2	2.28E+00	2.00E+00	1.53E+00
CRUK0059_SU_T1-R1	8.83E-01	8.54E-01	7.14E-01
CRUK0059_SU_T1-R2	1.02E+00	1.05E+00	9.12E-01
CRUK0060_SU_T1-R1	2.51E+00	2.60E+00	1.00E+00
CRUK0060_SU_T1-R2	1.20E+00	1.06E+00	1.07E+00
CRUK0061_SU_T1-R1	2.13E+00	1.66E+00	1.72E+00
CRUK0061_SU_T1-R2	4.34E-01	3.83E-01	2.30E-01
CRUK0062_SU_T1-R1	3.05E+00	3.02E+00	1.51E+00
CRUK0062_SU_T1-R2	3.41E+00	3.55E+00	1.28E+00
CRUK0062_SU_T1-R3	3.21E+00	3.09E+00	1.34E+00
CRUK0062_SU_T1-R4	3.60E+00	3.47E+00	1.58E+00
CRUK0062_SU_T1-R5	2.28E+00	2.18E+00	1.24E+00
CRUK0062_SU_T1-R6	1.50E+00	1.46E+00	6.81E-01
CRUK0062_SU_T1-R7	4.24E+00	4.19E+00	2.00E+00
CRUK0063_SU_T1-R3	1.15E+00	1.02E+00	1.20E+00
CRUK0063_SU_T1-R4	1.89E+00	1.72E+00	6.24E-01
CRUK0063_SU_T1-R5	1.84E+00	1.68E+00	1.01E+00
CRUK0063_SU_T1-R6	8.86E-01	4.59E-01	8.79E-01
CRUK0063_SU_T1-R7	4.54E-01	4.48E-01	5.09E-02
CRUK0064_SU_T1-R1	1.38E+00	1.32E+00	7.88E-01
CRUK0064_SU_T1-R2	9.50E-01	7.10E-01	5.59E-01
CRUK0065_SU_T1-R1	2.84E+00	2.84E+00	1.02E+00
CRUK0065_SU_T1-R2	2.34E+00	2.38E+00	1.20E+00
CRUK0065_SU_T1-R3	1.86E+00	1.89E+00	7.94E-01
CRUK0065_SU_T1-R4	2.22E+00	2.18E+00	1.14E+00
CRUK0065_SU_T1-R5	2.62E+00	2.65E+00	6.94E-01
CRUK0065_SU_T1-R6	2.41E+00	2.47E+00	7.11E-01
CRUK0065_SU_T1-R7	1.26E+00	1.23E+00	2.65E-01
CRUK0066_SU_T1-R1	1.67E+00	1.96E+00	1.95E+00
CRUK0066_SU_T1-R2	6.98E-01	7.17E-01	3.27E-01
CRUK0066_SU_T1-R3	1.09E+00	1.04E+00	7.98E-01
CRUK0066_SU_T1-R4	2.87E+00	3.17E+00	2.34E+00
CRUK0067_SU_T1-R1	2.44E+00	2.44E+00	2.91E+00
CRUK0067_SU_T1-R3	3.03E+00	3.45E+00	2.62E+00
CRUK0068_SU_T1-R1	1.70E+00	1.59E+00	6.14E-01
CRUK0068_SU_T1-R2	8.67E-01	2.77E-01	8.12E-01
CRUK0068_SU_T1-R3	1.74E+00	1.86E+00	9.79E-01
CRUK0068_SU_T1-R4	1.22E+00	1.16E+00	7.31E-01
CRUK0069_SU_T1-R1	1.75E+00	1.67E+00	7.40E-01
CRUK0069_SU_T1-R2	1.91E+00	1.83E+00	8.30E-01
CRUK0069_SU_T1-R3	1.46E+00	1.21E+00	1.27E+00
CRUK0069_SU_T1-R4	1.69E+00	1.59E+00	7.82E-01
CRUK0069_SU_T1-R5	1.92E+00	1.93E+00	9.27E-01
CRUK0070_SU_T1-R1	4.98E+00	3.84E+00	2.87E+00
CRUK0070_SU_T1-R2	3.60E+00	2.98E+00	2.68E+00
CRUK0070_SU_T1-R4	2.89E+00	2.75E+00	1.70E+00
CRUK0070_SU_T1-R6	2.76E+00	2.87E+00	1.85E+00
CRUK0070_SU_T1-R7	5.67E-01	3.99E-01	6.93E-01
CRUK0071_SU_T1-R1	2.74E+00	2.70E+00	9.99E-01
CRUK0071_SU_T1-R2	1.55E+00	1.59E+00	7.65E-01
CRUK0071_SU_T1-R3	1.56E+00	1.52E+00	8.03E-01
CRUK0071_SU_T1-R5	9.28E-01	3.11E-01	9.78E-01
CRUK0071_SU_T1-R6	1.49E+00	1.52E+00	4.88E-01
CRUK0071_SU_T1-R7	2.57E+00	2.52E+00	1.19E+00
CRUK0072_SU_T1-R1	2.31E+00	2.07E+00	1.39E+00
CRUK0072_SU_T1-R2	3.51E+00	3.16E+00	1.25E+00
CRUK0072_SU_T1-R3	1.35E+00	1.34E+00	1.38E+00
CRUK0072_SU_T1-R4	3.27E+00	3.17E+00	1.35E+00
CRUK0073_SU_T1-R1	4.99E+00	5.04E+00	1.68E+00
CRUK0073_SU_T1-R2	2.22E+00	2.12E+00	1.24E+00
CRUK0074_SU_T1-R1	2.90E+00	3.04E+00	1.31E+00
CRUK0074_SU_T1-R2	1.53E+00	1.67E+00	1.01E+00
CRUK0074_SU_T1-R3	1.16E+00	1.24E+00	1.14E+00
CRUK0075_SU_T1-R1	1.73E+00	1.68E+00	1.20E+00
CRUK0075_SU_T1-R2	2.38E+00	2.33E+00	1.09E+00
CRUK0076_SU_T1-R1	2.28E+00	1.97E+00	1.69E+00
CRUK0076_SU_T1-R2	2.67E+00	2.63E+00	9.62E-01
CRUK0076_SU_T1-R3	2.50E+00	2.50E+00	9.34E-01
CRUK0076_SU_T1-R4	2.63E+00	2.59E+00	7.99E-01
CRUK0077_SU_T1-R1	1.69E+00	1.68E+00	8.51E-01
CRUK0077_SU_T1-R2	2.55E+00	2.58E+00	1.44E+00
CRUK0077_SU_T1-R3	4.46E+00	3.88E+00	2.14E+00
CRUK0078_SU_T1-R2	1.55E+00	9.64E-01	1.47E+00
CRUK0078_SU_T1-R3	1.19E+00	4.63E-01	1.19E+00
CRUK0078_SU_T1-R4	6.31E-01	5.75E-01	3.32E-01
CRUK0079_SU_T1-R1	1.62E+00	1.33E+00	9.49E-01
CRUK0079_SU_T1-R2	2.15E+00	1.99E+00	1.02E+00
CRUK0079_SU_T1-R3	2.76E+00	2.50E+00	1.37E+00
CRUK0079_SU_T1-R4	2.49E+00	2.49E+00	1.03E+00
CRUK0080_SU_T1-R2	1.30E+00	1.03E+00	1.48E+00
CRUK0080_SU_T1-R3	1.03E+00	7.08E-01	8.84E-01
CRUK0080_SU_T1-R4	1.37E+00	1.04E+00	1.25E+00
CRUK0080_SU_T1-R5	1.69E+00	1.63E+00	8.25E-01
CRUK0080_SU_T1-R6	1.51E+00	1.23E+00	1.55E+00
CRUK0081_SU_T1-R1	9.28E-01	8.87E-01	5.35E-01
CRUK0081_SU_T1-R5	1.70E+00	1.56E+00	9.32E-01
CRUK0081_SU_T1-R6	5.16E-01	2.94E-01	4.66E-01
CRUK0082_SU_T1-R1	1.71E+00	1.69E+00	4.14E-01
CRUK0082_SU_T1-R2	1.33E+00	1.30E+00	3.56E-01
CRUK0082_SU_T1-R3	9.30E-01	9.30E-01	0.00E+00
CRUK0082_SU_T1-R4	2.35E+00	2.06E+00	1.51E+00
CRUK0082_SU_T1-R5	1.85E+00	1.64E+00	1.21E+00
CRUK0083_SU_T1-R1	3.18E+00	3.04E+00	1.25E+00
CRUK0083_SU_T1-R2	3.72E+00	3.58E+00	1.86E+00
CRUK0083_SU_T1-R3	2.89E+00	2.87E+00	9.73E-01
CRUK0083_SU_T1-R4	4.62E+00	4.15E+00	2.90E+00
CRUK0084_SU_T1-R1	1.82E+00	1.92E+00	5.85E-01
CRUK0084_SU_T1-R2	2.10E+00	1.78E+00	1.21E+00
CRUK0084_SU_T1-R3	1.65E+00	1.28E+00	1.20E+00
CRUK0084_SU_T1-R4	1.68E+00	1.70E+00	6.39E-01
CRUK0085_SU_T1-R1	1.54E+00	1.64E+00	7.76E-01
CRUK0085_SU_T1-R2	2.62E+00	2.56E+00	9.17E-01
CRUK0085_SU_T1-R3	2.46E+00	2.51E+00	1.22E+00
CRUK0085_SU_T1-R4	2.67E+00	2.61E+00	1.25E+00
CRUK0086_SU_T1-R1	1.60E+00	1.55E+00	1.00E+00
CRUK0086_SU_T1-R2	2.07E+00	2.05E+00	1.16E+00
CRUK0086_SU_T1-R4	1.67E+00	1.62E+00	9.41E-01
CRUK0087_SU_T1-R1	1.69E+00	1.97E+00	1.09E+00
CRUK0087_SU_T1-R2	1.50E+00	1.67E+00	8.73E-01
CRUK0087_SU_T1-R3	1.29E+00	1.27E+00	6.05E-01
CRUK0088_SU_T1-R1	1.58E+00	1.46E+00	7.36E-01
CRUK0088_SU_T1-R2	2.03E+00	1.77E+00	1.23E+00
CRUK0089_SU_T1-R1	6.39E-01	5.11E-01	5.04E-01
CRUK0089_SU_T1-R2	1.60E+00	1.80E+00	1.10E+00
CRUK0090_SU_T1-R1	2.38E+00	1.84E+00	1.66E+00
CRUK0090_SU_T1-R2	3.29E+00	3.18E+00	1.33E+00
CRUK0091_SU_T1-R1	5.87E-01	3.59E-01	5.65E-01
CRUK0091_SU_T1-R2	1.08E+00	1.08E+00	4.85E-01
CRUK0092_SU_T1-R1	1.50E+00	1.19E+00	9.85E-01
CRUK0092_SU_T1-R2	7.29E-01	6.35E-01	5.13E-01
CRUK0093_SU_T1-R1	7.44E-01	7.25E-01	1.41E-01
CRUK0093_SU_T1-R2	1.59E+00	1.46E+00	1.17E+00
CRUK0094_SU_T1-R1	1.23E+00	9.58E-01	8.70E-01
CRUK0094_SU_T1-R2	1.29E+00	1.12E+00	9.81E-01
CRUK0094_SU_T1-R3	1.09E+00	1.03E+00	7.26E-01
CRUK0094_SU_T1-R4	1.11E+00	1.28E+00	9.66E-01
CRUK0095_SU_T1-R1	9.95E-01	9.13E-01	8.07E-01
CRUK0095_SU_T1-R2	4.73E-01	1.27E+00	1.35E+00
CRUK0095_SU_T1-R3	1.13E+00	1.36E+00	9.69E-01
CRUK0096_SU_T1-R1	2.06E+00	2.00E+00	1.47E+00
CRUK0096_SU_T1-R2	1.45E+00	1.35E+00	6.70E-01
CRUK0096_SU_T1-R3	1.55E+00	1.22E+00	1.35E+00
CRUK0096_SU_T1-R4	2.37E+00	2.31E+00	1.26E+00
CRUK0096_SU_T1-R5	2.35E+00	2.27E+00	1.09E+00
CRUK0096_SU_T1-R6	2.21E+00	2.29E+00	1.00E+00
CRUK0096_SU_T1-R7	2.45E+00	2.54E+00	1.21E+00
CRUK0097_SU_T1-R1	1.35E+00	1.39E+00	6.96E-01
CRUK0097_SU_T1-R2	2.26E+00	2.05E+00	1.30E+00
CRUK0098_SU_T1-R1	1.08E+00	1.03E+00	5.15E-01
CRUK0098_SU_T1-R2	1.70E+00	1.78E+00	8.59E-01
CRUK0098_SU_T1-R3	1.92E+00	1.99E+00	6.64E-01
CRUK0099_SU_T1-R1	1.48E+00	1.46E+00	7.98E-01
CRUK0099_SU_T1-R2	1.41E+00	1.20E+00	9.85E-01
CRUK0099_SU_T1-R3	1.61E+00	1.55E+00	1.09E+00
CRUK0099_SU_T1-R4	1.36E+00	1.24E+00	9.70E-01
CRUK0099_SU_T1-R5	9.64E-01	9.22E-01	7.43E-01
CRUK0099_SU_T1-R6	1.34E+00	1.27E+00	7.94E-01
CRUK0099_SU_T1-R7	8.40E-01	8.08E-01	5.70E-01
CRUK0100_SU_T1-R1	2.31E+00	2.23E+00	9.27E-01
CRUK0100_SU_T1-R2	2.97E+00	2.50E+00	1.72E+00
CRUK0100_SU_T1-R3	2.32E+00	2.15E+00	2.22E+00
