NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	288.947	63.866	44.017	56.551	0.413	0.655	1500.0
2	289.319	64.046	44.259	56.975	0.414	0.649	1500.0
3	289.602	63.925	44.013	56.787	0.414	0.652	1500.0
4	290.979	64.186	44.513	57.013	0.418	0.652	1500.0
5	288.096	64.109	44.062	56.78	0.418	0.653	1500.0
6	290.103	64.049	44.256	56.96	0.416	0.65	2000.0
7	289.869	64.367	44.179	56.968	0.418	0.65	1500.0
8	289.214	64.111	44.192	57.018	0.417	0.649	1500.0
9	288.484	63.958	43.896	56.667	0.415	0.653	1500.0
10	292.31	64.452	44.412	57.034	0.42	0.65	1500.0
11	288.416	64.101	43.863	56.657	0.416	0.654	1500.0
12	287.16	63.583	43.968	56.484	0.412	0.657	2000.0
13	288.905	63.604	44.007	56.618	0.412	0.654	1500.0
14	292.941	64.735	44.744	57.205	0.425	0.647	1500.0
15	290.765	64.373	44.422	56.893	0.417	0.652	1500.0
16	289.547	64.055	44.171	56.912	0.415	0.65	2000.0
17	288.358	63.808	44.226	57.005	0.412	0.65	1500.0
18	288.579	63.825	44.07	56.853	0.413	0.652	1500.0
19	289.615	64.4	44.265	56.866	0.421	0.652	1500.0
20	289.127	63.981	44.094	56.63	0.416	0.655	1500.0
21	287.332	63.75	43.687	56.542	0.412	0.654	1500.0
22	287.745	63.677	43.889	56.639	0.411	0.655	1500.0
23	289.58	63.939	44.171	56.704	0.415	0.655	1500.0
24	289.342	64.176	44.123	56.979	0.417	0.65	1500.0
25	289.843	64.12	44.217	56.929	0.417	0.65	1500.0
26	288.835	64.089	43.83	56.753	0.415	0.652	2000.0
27	286.78	63.641	43.443	56.324	0.41	0.657	1500.0
28	288.012	64.065	44.227	56.944	0.415	0.652	1500.0
29	288.898	64.105	44.365	56.959	0.42	0.651	1500.0
30	288.174	63.937	44.008	56.848	0.414	0.651	1500.0
31	291.659	64.464	44.494	57.235	0.419	0.646	2000.0
32	288.716	63.84	43.896	56.696	0.414	0.652	2000.0
33	289.475	63.941	44.017	56.695	0.414	0.654	1500.0
