Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.74	177.442	59.147%	38.737	67.351%	0.41706	0.61
CRUK0001_SU_T1-R2	239	0.773	150.987	63.174%	26.561	63.402%	0.36323	0.626
CRUK0001_SU_T1-R3	260	0.738	193.991	74.612%	29.519	67.757%	0.4594	0.535
CRUK0002_SU_T1-R1	350	0.766	204.171	58.335%	40.219	64.27%	0.32279	0.623
CRUK0002_SU_T1-R2	355	0.8	189.535	53.39%	36.697	59.966%	0.29327	0.669
CRUK0002_SU_T1-R3	213	0.65	169.648	79.647%	33.686	75.992%	0.58175	0.49
CRUK0003_SU_T1-R1	662	0.944	216.889	32.763%	33.383	33.356%	0.097	0.899
CRUK0003_SU_T1-R2	319	0.719	197.688	61.971%	42.185	69.53%	0.40131	0.567
CRUK0003_SU_T1-R3	336	0.708	217.463	64.721%	47.404	70.713%	0.44761	0.571
CRUK0003_SU_T1-R4	462	0.942	171.817	37.19%	23.065	33.795%	0.1409	0.886
CRUK0003_SU_T1-R6	304	0.713	192.57	63.345%	39.498	70.109%	0.41014	0.543
CRUK0004_SU_T1-R1	313	0.757	180.274	57.596%	33.82	65.636%	0.32419	0.561
CRUK0004_SU_T1-R2	107	0.864	70.713	66.087%	9.165	50.838%	0.40867	0.779
CRUK0004_SU_T1-R3	299	0.918	126.493	42.305%	17.401	39.681%	0.1707	0.833
CRUK0004_SU_T1-R4	186	0.868	104.407	56.133%	14.084	49.732%	0.31567	0.743
CRUK0005_SU_T1-R1	212	0.84	122.371	57.722%	17.388	54.444%	0.30946	0.682
CRUK0005_SU_T1-R2	372	0.884	169.589	45.588%	23.994	48.654%	0.18313	0.721
CRUK0005_SU_T1-R3	290	0.796	172.678	59.544%	25.08	63.621%	0.30197	0.526
CRUK0005_SU_T1-R4	376	0.903	161.995	43.084%	22.346	43.757%	0.16267	0.776
CRUK0006_SU_T1-R1	406	0.702	268.512	66.136%	49.343	71.806%	0.38211	0.471
CRUK0006_SU_T1-R2	453	0.725	279.751	61.755%	51.164	69.619%	0.3456	0.49
CRUK0007_SU_T1-R1	84	0.815	70.091	83.442%	9.347	58.881%	0.59231	0.738
CRUK0007_SU_T1-R2	252	0.783	148.61	58.972%	26.119	62.259%	0.3446	0.618
CRUK0008_SU_T1-R1	283	0.867	155.192	54.838%	20.954	50.104%	0.33857	0.727
CRUK0008_SU_T1-R2	348	0.844	174.385	50.111%	27.57	54.215%	0.26801	0.674
CRUK0009_SU_T1-R1	4360	0.961	1211.824	27.794%	192.278	28.777%	0.06027	0.938
CRUK0009_SU_T1-R2	1726	0.959	503.388	29.165%	75.635	29.125%	0.07897	0.928
CRUK0009_SU_T1-R3	593	0.941	200.208	33.762%	28.32	34.012%	0.10998	0.87
CRUK0009_SU_T1-R4	1616	0.969	368.814	22.823%	59.177	25.074%	0.052	0.942
CRUK0010_SU_T1-R1	2607	0.976	505.458	19.388%	79.543	21.935%	0.03953	0.947
CRUK0010_SU_T1-R2	1064	0.951	297.324	27.944%	47.826	31.093%	0.07086	0.899
CRUK0011_SU_T1-R1	283	0.752	194.257	68.642%	27.173	69.583%	0.39469	0.436
CRUK0011_SU_T1-R2	318	0.786	196.692	61.853%	28.375	64.757%	0.29393	0.512
CRUK0011_SU_T1-R3	429	0.958	126.141	29.403%	17.881	28.889%	0.09448	0.914
CRUK0012_SU_T1-R1	388	0.924	166.909	43.018%	23.541	38.754%	0.18716	0.869
CRUK0012_SU_T1-R2	131	0.828	84.564	64.553%	12.043	56.09%	0.42724	0.697
CRUK0013_SU_T1-R1	814	0.962	214.953	26.407%	33.285	27.83%	0.06354	0.927
CRUK0013_SU_T1-R2	594	0.959	189.001	31.818%	25.84	29.072%	0.08893	0.926
CRUK0013_SU_T1-R3	2517	0.939	795.6	31.609%	146.562	35.939%	0.08313	0.912
CRUK0014_SU_T1-R1	227	0.898	104.028	45.827%	14.477	44.237%	0.21121	0.784
CRUK0014_SU_T1-R2	152	0.705	109.673	72.153%	21.834	71.064%	0.54166	0.572
CRUK0015_SU_T1-R1	417	0.939	144.56	34.667%	20.027	34.361%	0.13575	0.866
CRUK0015_SU_T1-R2	212	0.867	119.357	56.3%	16.101	49.879%	0.29853	0.741
CRUK0016_SU_T1-R1	1910	0.97	482.63	25.269%	68.625	24.808%	0.04847	0.941
CRUK0016_SU_T1-R2	879	0.574	675.436	76.841%	142.539	82.655%	0.55749	0.323
CRUK0017_SU_T1-R1	435	0.929	172.396	39.631%	24.399	37.273%	0.15408	0.865
CRUK0017_SU_T1-R2	293	0.79	183.231	62.536%	26.07	63.814%	0.34511	0.529
CRUK0017_SU_T1-R3	475	0.773	288.693	60.777%	42.997	67.488%	0.29808	0.464
CRUK0017_SU_T1-R4	476	0.747	325.702	68.425%	47.789	68.806%	0.35335	0.465
CRUK0018_SU_T1-R1	434	0.628	329.987	76.034%	56.897	80.304%	0.56015	0.302
CRUK0018_SU_T1-R2	705	0.956	209.191	29.672%	29.035	29.292%	0.07926	0.905
CRUK0018_SU_T1-R3	279	0.757	185.733	66.571%	25.943	70.374%	0.37306	0.415
CRUK0018_SU_T1-R4	303	0.713	209.656	69.193%	30.768	76.092%	0.41006	0.318
CRUK0019_SU_T1-R1	424	0.878	217.352	51.262%	33.58	48.178%	0.22431	0.797
CRUK0019_SU_T1-R2	2585	0.972	645.349	24.965%	103.757	25.833%	0.05377	0.963
CRUK0020_SU_T1-R1	1141	0.645	898.995	78.79%	149.089	78.001%	0.43293	0.355
CRUK0020_SU_T1-R2	574	0.699	393.536	68.56%	61.233	76.256%	0.38302	0.327
CRUK0021_SU_T1-R1	128	0.839	88.591	69.212%	11.732	54.582%	0.4079	0.73
