Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.933	133.25	44.417%	20.707	36.003%	0.21214	0.906
CRUK0001_SU_T1-R2	239	0.915	117.659	49.23%	16.986	40.546%	0.23366	0.868
CRUK0001_SU_T1-R3	260	0.931	120.705	46.425%	15.956	36.625%	0.25553	0.89
CRUK0002_SU_T1-R1	350	0.947	135.555	38.73%	20.37	32.551%	0.15478	0.923
CRUK0002_SU_T1-R2	355	0.935	143.936	40.545%	22.013	35.971%	0.14601	0.9
CRUK0002_SU_T1-R3	213	0.937	111.448	52.323%	15.547	35.072%	0.28358	0.916
CRUK0003_SU_T1-R1	662	0.971	162.882	24.605%	23.796	23.777%	0.06238	0.947
CRUK0003_SU_T1-R2	319	0.96	123.604	38.747%	16.946	27.931%	0.16429	0.944
CRUK0003_SU_T1-R3	336	0.964	129.261	38.471%	17.864	26.648%	0.19569	0.951
CRUK0003_SU_T1-R4	462	0.951	155.098	33.571%	21.123	30.95%	0.12309	0.905
CRUK0003_SU_T1-R6	304	0.966	116.486	38.318%	14.562	25.847%	0.19121	0.951
CRUK0004_SU_T1-R1	313	0.934	133.598	42.683%	18.68	36.253%	0.18612	0.892
CRUK0004_SU_T1-R2	107	0.887	65.36	61.084%	8.408	46.639%	0.37945	0.819
CRUK0004_SU_T1-R3	299	0.928	116.309	38.899%	16.431	37.469%	0.15917	0.855
CRUK0004_SU_T1-R4	186	0.88	101.255	54.438%	13.481	47.603%	0.30496	0.768
CRUK0005_SU_T1-R1	212	0.89	104.954	49.507%	14.686	45.984%	0.23922	0.794
CRUK0005_SU_T1-R2	372	0.937	130.251	35.014%	17.179	34.835%	0.11842	0.838
CRUK0005_SU_T1-R3	290	0.912	121.29	41.824%	16.165	41.006%	0.16605	0.784
CRUK0005_SU_T1-R4	376	0.942	127.341	33.867%	17.191	33.663%	0.10716	0.861
CRUK0006_SU_T1-R1	406	0.961	139.083	34.257%	19.068	27.749%	0.12314	0.938
CRUK0006_SU_T1-R2	453	0.956	164.659	36.349%	21.646	29.454%	0.12411	0.926
CRUK0007_SU_T1-R1	84	0.835	63.84	76.0%	8.771	55.252%	0.54016	0.76
CRUK0007_SU_T1-R2	252	0.922	106.504	42.263%	16.305	38.866%	0.19422	0.871
CRUK0008_SU_T1-R1	283	0.878	147.558	52.141%	20.26	48.445%	0.32439	0.757
CRUK0008_SU_T1-R2	348	0.916	143.06	41.109%	20.399	40.114%	0.18547	0.829
CRUK0009_SU_T1-R1	4360	0.995	456.671	10.474%	69.458	10.395%	0.00928	0.99
CRUK0009_SU_T1-R2	1726	0.989	276.792	16.037%	37.907	14.597%	0.02527	0.98
CRUK0009_SU_T1-R3	593	0.956	183.212	30.896%	24.52	29.448%	0.09036	0.904
CRUK0009_SU_T1-R4	1616	0.988	260.038	16.091%	36.107	15.299%	0.02725	0.977
CRUK0010_SU_T1-R1	2607	0.988	384.688	14.756%	56.669	15.627%	0.02228	0.976
CRUK0010_SU_T1-R2	1064	0.974	233.338	21.93%	35.305	22.952%	0.04453	0.948
CRUK0011_SU_T1-R1	283	0.901	117.638	41.568%	16.959	43.428%	0.19437	0.767
CRUK0011_SU_T1-R2	318	0.939	112.569	35.399%	15.151	34.577%	0.13402	0.86
CRUK0011_SU_T1-R3	429	0.966	113.972	26.567%	15.954	25.776%	0.08487	0.931
CRUK0012_SU_T1-R1	388	0.951	139.938	36.066%	18.862	31.051%	0.13817	0.912
CRUK0012_SU_T1-R2	131	0.854	79.048	60.342%	11.211	52.215%	0.37944	0.75
CRUK0013_SU_T1-R1	814	0.968	198.645	24.404%	30.371	25.394%	0.05799	0.937
CRUK0013_SU_T1-R2	594	0.972	153.948	25.917%	21.09	23.728%	0.07112	0.948
CRUK0013_SU_T1-R3	2517	0.975	534.532	21.237%	93.726	22.983%	0.03414	0.959
CRUK0014_SU_T1-R1	227	0.904	101.784	44.839%	14.078	43.018%	0.20123	0.801
CRUK0014_SU_T1-R2	152	0.924	83.343	54.831%	11.841	38.539%	0.31595	0.897
CRUK0015_SU_T1-R1	417	0.944	137.87	33.062%	19.223	32.982%	0.12981	0.876
CRUK0015_SU_T1-R2	212	0.88	110.873	52.299%	15.411	47.742%	0.27072	0.773
CRUK0016_SU_T1-R1	1910	0.982	326.92	17.116%	52.618	19.021%	0.02433	0.964
CRUK0016_SU_T1-R2	879	0.974	273.312	31.094%	42.174	24.456%	0.09489	0.967
CRUK0017_SU_T1-R1	435	0.965	128.967	29.648%	17.267	26.378%	0.10252	0.934
CRUK0017_SU_T1-R2	293	0.926	122.515	41.814%	15.48	37.892%	0.15928	0.834
CRUK0017_SU_T1-R3	475	0.942	155.309	32.697%	21.301	33.434%	0.0879	0.857
CRUK0017_SU_T1-R4	476	0.924	187.133	39.314%	26.578	38.266%	0.17212	0.845
CRUK0018_SU_T1-R1	434	0.854	202.189	46.587%	37.744	53.272%	0.32794	0.756
CRUK0018_SU_T1-R2	705	0.96	198.522	28.159%	27.596	27.841%	0.07678	0.914
CRUK0018_SU_T1-R3	279	0.909	115.518	41.404%	15.484	42.002%	0.20117	0.761
CRUK0018_SU_T1-R4	303	0.864	138.676	45.768%	20.611	50.973%	0.21159	0.65
CRUK0019_SU_T1-R1	424	0.935	177.458	41.853%	25.092	36.0%	0.16329	0.896
CRUK0019_SU_T1-R2	2585	0.992	356.781	13.802%	53.151	13.233%	0.01946	0.986
CRUK0020_SU_T1-R1	1141	0.908	397.424	34.831%	80.881	42.316%	0.11301	0.854
CRUK0020_SU_T1-R2	574	0.962	161.688	28.169%	21.84	27.198%	0.0778	0.918
CRUK0021_SU_T1-R1	128	0.852	81.711	63.837%	11.242	52.303%	0.38633	0.752
CRUK0021_SU_T1-R2	231	0.901	109.465	47.387%	15.389	43.44%	0.2264	0.815
CRUK0022_SU_T1-R1	899	0.967	228.157	25.379%	33.432	25.577%	0.06128	0.934
CRUK0022_SU_T1-R2	322	0.95	124.434	38.644%	15.837	31.436%	0.16156	0.912
CRUK0023_SU_T1-R1	202	0.889	104.417	51.692%	13.551	45.889%	0.24286	0.768
CRUK0023_SU_T1-R2	302	0.92	131.049	43.394%	16.609	39.126%	0.194	0.823
CRUK0023_SU_T1-R3	301	0.942	109.74	36.458%	13.847	33.653%	0.13707	0.863
CRUK0023_SU_T1-R4	103	0.851	66.706	64.763%	9.2	52.507%	0.42313	0.756
CRUK0024_SU_T1-R1	355	0.932	131.24	36.969%	18.297	36.441%	0.11828	0.853
CRUK0024_SU_T1-R2	36	0.663	38.743	107.619%	5.707	74.937%	0.99859	0.52
CRUK0024_SU_T1-R3	884	0.975	204.202	23.1%	26.922	22.39%	0.05269	0.941
CRUK0024_SU_T1-R4	613	0.967	163.083	26.604%	20.436	25.555%	0.07547	0.912
CRUK0024_SU_T1-R6	684	0.946	218.463	31.939%	29.055	32.396%	0.08542	0.858
CRUK0025_SU_T1-R1	1647	0.992	237.123	14.397%	31.807	12.786%	0.02321	0.985
CRUK0025_SU_T1-R2	3046	0.991	383.005	12.574%	61.487	13.531%	0.01513	0.983
CRUK0025_SU_T1-R3	1235	0.975	285.964	23.155%	42.06	22.176%	0.05208	0.955
CRUK0026_SU_T1-R1	201	0.893	94.694	47.111%	12.975	45.788%	0.22781	0.768
CRUK0026_SU_T1-R2	412	0.941	161.718	39.252%	22.15	34.081%	0.16584	0.899
CRUK0027_SU_T1-R1	45	0.924	34.174	75.942%	5.065	38.733%	0.65156	0.914
CRUK0027_SU_T1-R2	332	0.931	140.564	42.339%	19.062	37.312%	0.20467	0.88
CRUK0027_SU_T1-R3	27	0.643	30.025	111.204%	4.397	76.542%	1.08043	0.489
CRUK0028_SU_T1-R1	281	0.92	118.299	42.099%	17.458	39.585%	0.19926	0.859
CRUK0028_SU_T1-R2	228	0.907	99.641	43.702%	14.673	42.393%	0.20442	0.825
CRUK0029_SU_T1-R1	126	0.811	91.828	72.879%	12.588	58.565%	0.44788	0.683
CRUK0029_SU_T1-R2	290	0.936	109.46	37.745%	14.131	35.196%	0.15572	0.854
CRUK0029_SU_T1-R4	1123	0.981	230.597	20.534%	31.437	19.708%	0.03907	0.96
CRUK0029_SU_T1-R5	278	0.933	106.678	38.373%	16.195	35.945%	0.15305	0.887
CRUK0029_SU_T1-R6	1025	0.975	233.1	22.741%	32.042	22.473%	0.05258	0.946
CRUK0029_SU_T1-R7	225	0.9	108.931	48.414%	16.32	43.601%	0.31558	0.835
