Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0038_SU_T1-R2	55	13	11	180
CRUK0039_SU_T1-R1	74	263	212	24
CRUK0039_SU_T1-R2	124	298	152	25
CRUK0039_SU_T1-R3	156	236	159	38
CRUK0040_SU_T1-R1	101	17	23	1
CRUK0040_SU_T1-R2	97	74	38	10
CRUK0041_SU_T1-R1	486	94	90	46
CRUK0041_SU_T1-R2	414	68	41	132
CRUK0041_SU_T1-R3	878	103	67	41
CRUK0041_SU_T1-R4	171	0	0	85
CRUK0042_SU_T1-R1	66	25	2	17
CRUK0042_SU_T1-R2	27	1	6	4
CRUK0043_SU_T1-R1	238	23	72	166
CRUK0043_SU_T1-R2	278	63	171	178
CRUK0044_SU_T1-R1	0	143	0	30
CRUK0044_SU_T1-R2	14	0	0	0
CRUK0045_SU_T1-R1	31	4	6	56
CRUK0045_SU_T1-R2	47	0	0	89
CRUK0045_SU_T1-R3	58	8	29	16
CRUK0046_SU_T1-R1	450	55	29	18
CRUK0046_SU_T1-R2	110	77	24	29
CRUK0046_SU_T1-R3	225	65	55	34
CRUK0046_SU_T1-R4	219	56	63	37
CRUK0047_SU_T1-R1	185	0	50	0
CRUK0047_SU_T1-R2	397	33	71	97
CRUK0048_SU_T1-R1	0	0	0	272
CRUK0048_SU_T1-R2	933	61	70	17
CRUK0048_SU_T1-R3	489	0	0	352
CRUK0049_SU_T1-R1	46	338	173	143
CRUK0049_SU_T1-R2	131	326	178	26
CRUK0050_SU_T1-R1	145	36	5	35
CRUK0050_SU_T1-R2	141	49	19	42
CRUK0050_SU_T1-R3	90	47	23	34
CRUK0050_SU_T1-R4	43	5	2	3
CRUK0050_SU_T1-R5	123	34	32	49
CRUK0051_SU_T1-R2	119	156	55	39
CRUK0051_SU_T1-R3	522	114	110	32
CRUK0051_SU_T1-R4	61	164	34	50
CRUK0052_SU_T1-R1	175	344	150	40
CRUK0052_SU_T1-R2	50	106	73	31
CRUK0052_SU_T1-R3	0	0	44	148
CRUK0052_SU_T1-R4	31	283	153	4
CRUK0053_SU_T1-R1	859	734	78	81
CRUK0053_SU_T1-R2	1646	528	220	115
CRUK0054_SU_T1-R1	102	80	57	37
CRUK0054_SU_T1-R2	338	42	20	33
CRUK0055_SU_T1-R1	38	7	6	101
CRUK0055_SU_T1-R2	313	59	133	201
CRUK0055_SU_T1-R3	10	214	83	31
CRUK0055_SU_T1-R4	66	283	0	0
CRUK0056_SU_T1-R1	99	26	52	100
CRUK0056_SU_T1-R2	248	21	43	11
CRUK0056_SU_T1-R3	156	122	103	23
CRUK0057_SU_T1-R1	202	313	43	54
CRUK0057_SU_T1-R2	213	0	0	431
CRUK0058_SU_T1-R1	602	75	37	43
CRUK0058_SU_T1-R2	537	92	86	57
CRUK0059_SU_T1-R1	89	23	20	16
CRUK0059_SU_T1-R2	77	23	39	16
CRUK0060_SU_T1-R1	41	581	27	31
CRUK0060_SU_T1-R2	39	108	8	36
CRUK0061_SU_T1-R1	484	78	44	92
CRUK0061_SU_T1-R2	47	8	0	0
CRUK0062_SU_T1-R1	1516	107	127	62
CRUK0062_SU_T1-R2	1769	185	260	31
CRUK0062_SU_T1-R3	1365	133	162	33
CRUK0062_SU_T1-R4	2206	128	200	76
CRUK0062_SU_T1-R5	688	54	104	44
CRUK0062_SU_T1-R6	174	34	64	16
CRUK0062_SU_T1-R7	2398	194	285	74
CRUK0063_SU_T1-R3	51	22	31	94
CRUK0063_SU_T1-R4	210	40	105	17
CRUK0063_SU_T1-R5	265	50	123	22
CRUK0063_SU_T1-R6	29	0	0	67
CRUK0063_SU_T1-R7	59	0	0	0
CRUK0064_SU_T1-R1	93	52	93	19
CRUK0064_SU_T1-R2	67	20	9	10
CRUK0065_SU_T1-R1	1394	116	170	23
CRUK0065_SU_T1-R2	1106	127	126	42
