Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0046_SU_T1-R2	4232	0.975	1013.264	23.943%	142.059	23.451%	0.05745	0.952
CRUK0046_SU_T1-R3	4011	0.973	1023.342	25.513%	139.06	24.042%	0.06468	0.949
CRUK0046_SU_T1-R4	4637	0.977	1099.006	23.701%	148.933	21.989%	0.05264	0.956
CRUK0047_SU_T1-R1	1835	0.979	453.928	24.737%	56.848	20.757%	0.0713	0.961
CRUK0047_SU_T1-R2	2240	0.964	579.338	25.863%	86.363	26.626%	0.06888	0.929
CRUK0048_SU_T1-R1	8247	0.97	1948.602	23.628%	306.326	25.347%	0.07322	0.944
CRUK0048_SU_T1-R2	24305	0.968	5737.848	23.608%	916.806	25.93%	0.05024	0.939
CRUK0048_SU_T1-R3	19474	0.966	4580.549	23.521%	741.319	26.736%	0.06331	0.933
CRUK0049_SU_T1-R1	5980	0.971	1355.265	22.663%	194.312	24.41%	0.05227	0.93
CRUK0049_SU_T1-R2	5970	0.978	1213.823	20.332%	170.332	21.205%	0.04056	0.95
CRUK0050_SU_T1-R1	5905	0.965	1550.662	26.26%	230.287	27.973%	0.05975	0.932
CRUK0050_SU_T1-R2	3553	0.973	851.604	23.969%	117.289	24.157%	0.05985	0.946
CRUK0050_SU_T1-R3	2819	0.963	747.9	26.531%	106.785	27.774%	0.07053	0.919
CRUK0050_SU_T1-R4	1812	0.973	425.489	23.482%	59.403	23.139%	0.05618	0.944
CRUK0050_SU_T1-R5	1550	0.948	458.55	29.584%	75.499	32.91%	0.10895	0.903
CRUK0051_SU_T1-R2	3558	0.97	823.132	23.135%	116.265	25.125%	0.05374	0.928
CRUK0051_SU_T1-R3	6764	0.955	1941.732	28.707%	298.328	31.816%	0.07753	0.912
CRUK0051_SU_T1-R4	6286	0.975	1469.06	23.37%	198.122	22.979%	0.0561	0.949
CRUK0052_SU_T1-R1	6933	0.983	1196.768	17.262%	168.52	18.443%	0.02879	0.958
CRUK0052_SU_T1-R2	4425	0.978	924.217	20.886%	128.196	21.224%	0.04081	0.951
CRUK0052_SU_T1-R3	1621	0.962	446.418	27.54%	64.271	27.375%	0.07792	0.923
CRUK0052_SU_T1-R4	4100	0.973	997.793	24.336%	132.719	23.604%	0.05844	0.939
CRUK0053_SU_T1-R1	13873	0.981	2857.989	20.601%	388.844	20.315%	0.04266	0.96
CRUK0053_SU_T1-R2	5802	0.958	1444.896	24.903%	217.814	28.863%	0.05449	0.888
CRUK0054_SU_T1-R1	2699	0.97	702.755	26.038%	97.473	25.417%	0.0683	0.941
CRUK0054_SU_T1-R2	4003	0.984	813.725	20.328%	108.545	18.072%	0.04206	0.97
CRUK0055_SU_T1-R1	7105	0.979	1600.124	22.521%	228.936	21.571%	0.06465	0.963
CRUK0055_SU_T1-R2	14883	0.982	3024.695	20.323%	438.75	19.975%	0.05421	0.969
CRUK0055_SU_T1-R3	11862	0.983	2252.711	18.991%	314.757	18.794%	0.03681	0.967
CRUK0055_SU_T1-R4	24820	0.948	6803.901	27.413%	1113.003	32.856%	0.06941	0.889
CRUK0056_SU_T1-R1	6806	0.974	1609.414	23.647%	242.271	24.373%	0.06825	0.953
CRUK0056_SU_T1-R2	5653	0.983	1195.402	21.146%	158.832	18.718%	0.05407	0.97
CRUK0056_SU_T1-R3	7708	0.973	1915.599	24.852%	267.078	24.33%	0.05642	0.95
CRUK0057_SU_T1-R1	3811	0.982	699.542	18.356%	95.477	19.521%	0.04213	0.953
CRUK0057_SU_T1-R2	2212	0.963	568.63	25.707%	88.719	26.803%	0.082	0.93
CRUK0058_SU_T1-R1	4576	0.972	1167.012	25.503%	163.745	24.827%	0.05765	0.949
CRUK0058_SU_T1-R2	6465	0.963	1776.062	27.472%	255.924	28.1%	0.06405	0.928
CRUK0059_SU_T1-R1	2281	0.979	565.366	24.786%	75.843	22.064%	0.06685	0.965
CRUK0059_SU_T1-R2	1891	0.974	491.839	26.009%	65.754	23.226%	0.06369	0.951
CRUK0060_SU_T1-R1	4973	0.973	1105.984	22.24%	150.32	23.649%	0.04391	0.932
CRUK0060_SU_T1-R2	2982	0.97	716.028	24.012%	98.648	24.733%	0.05878	0.93
CRUK0061_SU_T1-R1	7056	0.961	1836.636	26.029%	268.776	27.611%	0.06924	0.913
CRUK0061_SU_T1-R2	10493	0.975	2474.505	23.582%	363.397	24.149%	0.05474	0.955
CRUK0062_SU_T1-R1	8533	0.952	2489.655	29.177%	384.019	30.7%	0.07347	0.906
CRUK0062_SU_T1-R2	11725	0.974	2515.915	21.458%	385.228	23.403%	0.0419	0.948
CRUK0062_SU_T1-R3	9177	0.974	2041.342	22.244%	300.238	23.254%	0.0468	0.948
CRUK0062_SU_T1-R4	14301	0.953	3861.884	27.004%	627.55	30.686%	0.06477	0.905
CRUK0062_SU_T1-R5	6203	0.948	1858.348	29.959%	289.041	32.017%	0.07399	0.896
CRUK0062_SU_T1-R6	13386	0.973	3065.92	22.904%	453.211	23.725%	0.04539	0.947
CRUK0062_SU_T1-R7	11032	0.958	3091.18	28.02%	472.86	28.987%	0.07144	0.918
CRUK0063_SU_T1-R3	6799	0.97	1686.195	24.801%	236.977	25.622%	0.05101	0.939
CRUK0063_SU_T1-R4	6453	0.974	1458.685	22.605%	209.227	23.355%	0.04499	0.945
CRUK0063_SU_T1-R5	7741	0.977	1634.05	21.109%	221.301	21.434%	0.04214	0.946
CRUK0063_SU_T1-R6	4538	0.983	924.949	20.382%	124.211	19.003%	0.03987	0.968
CRUK0063_SU_T1-R7	2908	0.979	622.272	21.399%	86.953	20.564%	0.04897	0.96
CRUK0064_SU_T1-R1	7630	0.975	1753.78	22.985%	255.555	22.867%	0.04895	0.953
CRUK0064_SU_T1-R2	5358	0.974	1380.09	25.758%	192.952	23.973%	0.07391	0.955
CRUK0065_SU_T1-R1	12649	0.976	2810.529	22.219%	388.39	23.049%	0.04924	0.947
CRUK0065_SU_T1-R2	11322	0.98	2210.528	19.524%	300.02	20.129%	0.03648	0.95
CRUK0065_SU_T1-R3	8175	0.956	2390.599	29.243%	319.504	29.686%	0.06851	0.889
CRUK0065_SU_T1-R4	11751	0.962	3101.701	26.395%	425.147	27.65%	0.05816	0.903
CRUK0065_SU_T1-R5	9892	0.97	2352.329	23.78%	328.272	25.261%	0.04865	0.933
CRUK0065_SU_T1-R6	7285	0.977	1550.582	21.285%	211.017	21.69%	0.04576	0.945
CRUK0065_SU_T1-R7	2736	0.97	668.495	24.433%	93.371	24.855%	0.05631	0.937
CRUK0066_SU_T1-R1	5577	0.972	1332.214	23.888%	199.031	24.626%	0.07861	0.948
CRUK0066_SU_T1-R2	5370	0.976	1267.766	23.608%	175.985	22.181%	0.0528	0.956
CRUK0066_SU_T1-R3	10094	0.98	2129.913	21.101%	299.736	21.016%	0.04214	0.961
CRUK0066_SU_T1-R4	14537	0.978	3106.604	21.37%	448.334	21.777%	0.04633	0.957
CRUK0067_SU_T1-R1	4488	0.955	1192.294	26.566%	190.755	31.109%	0.08071	0.908
CRUK0067_SU_T1-R3	4535	0.976	896.847	19.776%	143.45	23.02%	0.03932	0.953
CRUK0068_SU_T1-R1	2516	0.95	778.549	30.944%	102.531	31.619%	0.07738	0.869
CRUK0068_SU_T1-R2	2291	0.973	556.781	24.303%	79.655	23.466%	0.08359	0.949
CRUK0068_SU_T1-R3	3532	0.971	861.989	24.405%	111.696	23.741%	0.04761	0.929
CRUK0068_SU_T1-R4	5117	0.979	1084.26	21.189%	146.771	20.782%	0.04547	0.956
CRUK0069_SU_T1-R1	4328	0.981	832.494	19.235%	111.424	19.265%	0.0298	0.956
CRUK0069_SU_T1-R2	2871	0.967	725.367	25.265%	97.376	26.322%	0.05993	0.92
CRUK0069_SU_T1-R3	1662	0.954	497.782	29.951%	72.596	30.119%	0.10615	0.907
CRUK0069_SU_T1-R4	3786	0.969	926.329	24.467%	129.428	25.567%	0.06412	0.928
CRUK0069_SU_T1-R5	6301	0.96	1686.635	26.768%	226.167	28.376%	0.0705	0.889
CRUK0070_SU_T1-R1	8457	0.986	1452.924	17.18%	204.408	16.602%	0.03523	0.973
CRUK0070_SU_T1-R2	7501	0.977	1640.55	21.871%	233.289	21.58%	0.05779	0.956
CRUK0070_SU_T1-R4	12951	0.98	2555.709	19.734%	383.746	21.367%	0.03794	0.961
CRUK0070_SU_T1-R6	8668	0.975	1871.497	21.591%	276.44	22.6%	0.04487	0.948
