,CRUK0001_SU_T1-R1,CRUK0001_SU_T1-R2,CRUK0001_SU_T1-R3,CRUK0002_SU_T1-R1,CRUK0002_SU_T1-R2,CRUK0002_SU_T1-R3,CRUK0003_SU_T1-R1,CRUK0003_SU_T1-R2,CRUK0003_SU_T1-R3,CRUK0003_SU_T1-R4,CRUK0003_SU_T1-R6,CRUK0004_SU_T1-R1,CRUK0004_SU_T1-R2,CRUK0004_SU_T1-R3,CRUK0004_SU_T1-R4,CRUK0005_SU_T1-R1,CRUK0005_SU_T1-R2,CRUK0005_SU_T1-R3,CRUK0005_SU_T1-R4,CRUK0006_SU_T1-R1,CRUK0006_SU_T1-R2,CRUK0007_SU_T1-R1,CRUK0007_SU_T1-R2,CRUK0008_SU_T1-R1,CRUK0008_SU_T1-R2,CRUK0009_SU_T1-R1,CRUK0009_SU_T1-R2,CRUK0009_SU_T1-R3,CRUK0009_SU_T1-R4,CRUK0010_SU_T1-R1,CRUK0010_SU_T1-R2,CRUK0011_SU_T1-R1,CRUK0011_SU_T1-R2,CRUK0011_SU_T1-R3,CRUK0012_SU_T1-R1,CRUK0012_SU_T1-R2,CRUK0013_SU_T1-R1,CRUK0013_SU_T1-R2,CRUK0013_SU_T1-R3,CRUK0014_SU_T1-R1,CRUK0014_SU_T1-R2,CRUK0015_SU_T1-R1,CRUK0015_SU_T1-R2,CRUK0016_SU_T1-R1,CRUK0016_SU_T1-R2,CRUK0017_SU_T1-R1,CRUK0017_SU_T1-R2,CRUK0017_SU_T1-R3,CRUK0017_SU_T1-R4,CRUK0018_SU_T1-R1,CRUK0018_SU_T1-R2,CRUK0018_SU_T1-R3,CRUK0018_SU_T1-R4,CRUK0019_SU_T1-R1.bam,CRUK0019_SU_T1-R2.bam,CRUK0020_SU_T1-R1,CRUK0020_SU_T1-R2,CRUK0021_SU_T1-R1,CRUK0021_SU_T1-R2,CRUK0022_SU_T1-R1,CRUK0022_SU_T1-R2,CRUK0023_SU_T1-R1,CRUK0023_SU_T1-R2,CRUK0023_SU_T1-R3,CRUK0023_SU_T1-R4,CRUK0024_SU_T1-R1,CRUK0024_SU_T1-R2,CRUK0024_SU_T1-R3,CRUK0024_SU_T1-R4,CRUK0024_SU_T1-R6,CRUK0025_SU_T1-R1,CRUK0025_SU_T1-R2,CRUK0025_SU_T1-R3,CRUK0026_SU_T1-R1,CRUK0026_SU_T1-R2,CRUK0027_SU_T1-R1,CRUK0027_SU_T1-R2,CRUK0027_SU_T1-R3,CRUK0028_SU_T1-R1,CRUK0028_SU_T1-R2,CRUK0029_SU_T1-R1,CRUK0029_SU_T1-R2,CRUK0029_SU_T1-R4,CRUK0029_SU_T1-R5,CRUK0029_SU_T1-R6,CRUK0029_SU_T1-R7,CRUK0029_SU_T1-R8,CRUK0030_SU_T2-R1,CRUK0030_SU_T2-R2,CRUK0030_SU_T2-R3,CRUK0031_SU_T1-R1,CRUK0031_SU_T1-R2,CRUK0031_SU_T1-R3,CRUK0032_SU_T1-R1,CRUK0032_SU_T1-R2,CRUK0032_SU_T1-R3,CRUK0032_SU_T1-R4,CRUK0033_SU_T1-R1,CRUK0033_SU_T1-R2,CRUK0034_SU_T1-R1,CRUK0034_SU_T1-R2,CRUK0034_SU_T1-R3,CRUK0035_SU_T1-R1,CRUK0035_SU_T1-R2,CRUK0035_SU_T1-R3,CRUK0036_SU_T1-R1,CRUK0036_SU_T1-R2,CRUK0036_SU_T1-R3,CRUK0036_SU_T1-R4,CRUK0037_SU_T1-R1,CRUK0037_SU_T1-R2,CRUK0037_SU_T1-R3.bam,CRUK0037_SU_T1-R4.bam,CRUK0037_SU_T1-R5.bam,CRUK0038_SU_T1-R1.bam,CRUK0038_SU_T1-R2.bam,CRUK0039_SU_T1-R1,CRUK0039_SU_T1-R2,CRUK0039_SU_T1-R3,CRUK0040_SU_T1-R1,CRUK0040_SU_T1-R2,CRUK0041_SU_T1-R1,CRUK0041_SU_T1-R2,CRUK0041_SU_T1-R3,CRUK0041_SU_T1-R4,CRUK0042_SU_T1-R1,CRUK0042_SU_T1-R2,CRUK0043_SU_T1-R1,CRUK0043_SU_T1-R2,CRUK0044_SU_T1-R1,CRUK0044_SU_T1-R2,CRUK0045_SU_T1-R1,CRUK0045_SU_T1-R2,CRUK0045_SU_T1-R3,CRUK0046_SU_T1-R1,CRUK0046_SU_T1-R2,CRUK0046_SU_T1-R3,CRUK0046_SU_T1-R4,CRUK0047_SU_T1-R1,CRUK0047_SU_T1-R2,CRUK0048_SU_T1-R1,CRUK0048_SU_T1-R2,CRUK0048_SU_T1-R3,CRUK0049_SU_T1-R1,CRUK0049_SU_T1-R2,CRUK0050_SU_T1-R1,CRUK0050_SU_T1-R2,CRUK0050_SU_T1-R3,CRUK0050_SU_T1-R4,CRUK0050_SU_T1-R5,CRUK0051_SU_T1-R2,CRUK0051_SU_T1-R3,CRUK0051_SU_T1-R4,CRUK0052_SU_T1-R1,CRUK0052_SU_T1-R2,CRUK0052_SU_T1-R3,CRUK0052_SU_T1-R4,CRUK0053_SU_T1-R1,CRUK0053_SU_T1-R2,CRUK0054_SU_T1-R1,CRUK0054_SU_T1-R2,CRUK0055_SU_T1-R1,CRUK0055_SU_T1-R2,CRUK0055_SU_T1-R3,CRUK0055_SU_T1-R4,CRUK0056_SU_T1-R1,CRUK0056_SU_T1-R2,CRUK0056_SU_T1-R3,CRUK0057_SU_T1-R1,CRUK0057_SU_T1-R2,CRUK0058_SU_T1-R1,CRUK0058_SU_T1-R2,CRUK0059_SU_T1-R1,CRUK0059_SU_T1-R2,CRUK0060_SU_T1-R1,CRUK0060_SU_T1-R2,CRUK0061_SU_T1-R1,CRUK0061_SU_T1-R2,CRUK0062_SU_T1-R1,CRUK0062_SU_T1-R2,CRUK0062_SU_T1-R3,CRUK0062_SU_T1-R4,CRUK0062_SU_T1-R5,CRUK0062_SU_T1-R6,CRUK0062_SU_T1-R7,CRUK0063_SU_T1-R3,CRUK0063_SU_T1-R4,CRUK0063_SU_T1-R5,CRUK0063_SU_T1-R6,CRUK0063_SU_T1-R7,CRUK0064_SU_T1-R1,CRUK0064_SU_T1-R2,CRUK0065_SU_T1-R1,CRUK0065_SU_T1-R2,CRUK0065_SU_T1-R3,CRUK0065_SU_T1-R4,CRUK0065_SU_T1-R5,CRUK0065_SU_T1-R6,CRUK0065_SU_T1-R7,CRUK0066_SU_T1-R1,CRUK0066_SU_T1-R2,CRUK0066_SU_T1-R3,CRUK0066_SU_T1-R4,CRUK0067_SU_T1-R1,CRUK0067_SU_T1-R3,CRUK0068_SU_T1-R1,CRUK0068_SU_T1-R2,CRUK0068_SU_T1-R3,CRUK0068_SU_T1-R4,CRUK0069_SU_T1-R1,CRUK0069_SU_T1-R2,CRUK0069_SU_T1-R3,CRUK0069_SU_T1-R4,CRUK0069_SU_T1-R5,CRUK0070_SU_T1-R1,CRUK0070_SU_T1-R2,CRUK0070_SU_T1-R4,CRUK0070_SU_T1-R6,CRUK0070_SU_T1-R7,CRUK0071_SU_T1-R1,CRUK0071_SU_T1-R2,CRUK0071_SU_T1-R3,CRUK0071_SU_T1-R5,CRUK0071_SU_T1-R6,CRUK0071_SU_T1-R7,CRUK0072_SU_T1-R1,CRUK0072_SU_T1-R2,CRUK0072_SU_T1-R3,CRUK0072_SU_T1-R4,CRUK0073_SU_T1-R1,CRUK0073_SU_T1-R2,CRUK0074_SU_T1-R1,CRUK0074_SU_T1-R2,CRUK0074_SU_T1-R3,CRUK0075_SU_T1-R1,CRUK0075_SU_T1-R2,CRUK0076_SU_T1-R1,CRUK0076_SU_T1-R2,CRUK0076_SU_T1-R3,CRUK0076_SU_T1-R4,CRUK0077_SU_T1-R1,CRUK0077_SU_T1-R2,CRUK0077_SU_T1-R3,CRUK0078_SU_T1-R2,CRUK0078_SU_T1-R3,CRUK0078_SU_T1-R4,CRUK0079_SU_T1-R1,CRUK0079_SU_T1-R2,CRUK0079_SU_T1-R3,CRUK0079_SU_T1-R4,CRUK0080_SU_T1-R2,CRUK0080_SU_T1-R3,CRUK0080_SU_T1-R4,CRUK0080_SU_T1-R5,CRUK0080_SU_T1-R6,CRUK0081_SU_T1-R1,CRUK0081_SU_T1-R5,CRUK0081_SU_T1-R6,CRUK0082_SU_T1-R1,CRUK0082_SU_T1-R2,CRUK0082_SU_T1-R3,CRUK0082_SU_T1-R4,CRUK0082_SU_T1-R5,CRUK0083_SU_T1-R1,CRUK0083_SU_T1-R2,CRUK0083_SU_T1-R3,CRUK0083_SU_T1-R4,CRUK0084_SU_T1-R1,CRUK0084_SU_T1-R2,CRUK0084_SU_T1-R3,CRUK0084_SU_T1-R4,CRUK0085_SU_T1-R1,CRUK0085_SU_T1-R2,CRUK0085_SU_T1-R3,CRUK0085_SU_T1-R4,CRUK0086_SU_T1-R1,CRUK0086_SU_T1-R2,CRUK0086_SU_T1-R4,CRUK0087_SU_T1-R1,CRUK0087_SU_T1-R2,CRUK0087_SU_T1-R3,CRUK0088_SU_T1-R1,CRUK0088_SU_T1-R2,CRUK0089_SU_T1-R1,CRUK0089_SU_T1-R2,CRUK0090_SU_T1-R1,CRUK0090_SU_T1-R2,CRUK0091_SU_T1-R1,CRUK0091_SU_T1-R2,CRUK0092_SU_T1-R1,CRUK0092_SU_T1-R2,CRUK0093_SU_T1-R1,CRUK0093_SU_T1-R2,CRUK0094_SU_T1-R1,CRUK0094_SU_T1-R2,CRUK0094_SU_T1-R3,CRUK0094_SU_T1-R4,CRUK0095_SU_T1-R1,CRUK0095_SU_T1-R2,CRUK0095_SU_T1-R3,CRUK0096_SU_T1-R1,CRUK0096_SU_T1-R2,CRUK0096_SU_T1-R3,CRUK0096_SU_T1-R4,CRUK0096_SU_T1-R5,CRUK0096_SU_T1-R6,CRUK0096_SU_T1-R7,CRUK0097_SU_T1-R1,CRUK0097_SU_T1-R2,CRUK0098_SU_T1-R1,CRUK0098_SU_T1-R2,CRUK0098_SU_T1-R3,CRUK0099_SU_T1-R1,CRUK0099_SU_T1-R2,CRUK0099_SU_T1-R3,CRUK0099_SU_T1-R4,CRUK0099_SU_T1-R5,CRUK0099_SU_T1-R6,CRUK0099_SU_T1-R7,CRUK0100_SU_T1-R1,CRUK0100_SU_T1-R2,CRUK0100_SU_T1-R3
Sign.01,945.773459863171,1432.23967108678,4283.34092790304,2114.13404793891,2174.40951480141,30.0853543982555,6113.59925194383,562.483790853927,4717.53719648505,6027.78579498339,3577.09623800078,3431.91460046101,2566.29248569649,3488.44391072302,2292.78128373499,4504.22161852961,2985.56962671483,3769.53154151894,3722.05714327524,2054.02078700858,1673.29997454155,5697.99420137899,7006.98434817384,737.758060284597,1261.50703238967,4504.40309375201,2332.31977864001,4148.61088690742,6466.74012343413,2873.56994832903,2839.02528550275,3933.65736427513,4288.47018121243,3295.39813975962,2858.95551013859,3695.18434637573,1595.71215120085,1586.31258336804,4488.1839866508,3204.02310803565,931.523547369336,669.687282602093,1928.96374910828,4473.67582761513,1238.87611977059,3391.77810091134,1414.05767138679,3693.56365935768,2579.71496403847,2601.19670972883,1857.11377366772,2518.92370767529,2453.69056280747,2985.86761722118,2766.1651466556,1763.57870037166,712.020158185464,604.466778601482,1190.74328621843,1963.74060385759,2282.44124256558,4307.64471508427,1059.06720008935,3662.08231458004,3413.93261131493,1244.92970965117,1844.05875226528,2362.76599243549,1573.02694567063,1946.39729220967,3531.11109534029,4776.71271678791,1596.90741219738,1514.98008535948,1817.00223185519,481.423514392039,755.334941496881,1225.26375407615,1913.5400921534,2984.88477399608,633.718449658443,579.226076680456,1129.1092028462,1508.50665669769,1474.88497829348,886.52762803485,2262.81832939383,925.651165819418,1053.81767978453,1356.24355619796,6982.39357544218,6426.45190257323,4276.22005092028,3418.06924453313,5565.60522438333,4371.38207725133,5472.15254169428,9644.86493349891,6742.5459094468,424.051141704803,906.744370993355,1507.21119236884,2905.58796155799,5067.69916089434,183.845403710569,2322.51105066535,3139.84407403787,418.973534429024,1732.07242609789,5254.41797260207,4712.1377645543,3041.44070901524,4314.57632999348,3955.2796873198,1907.46877929307,1553.2984352923,1239.20004745397,402.874834936539,229.979189667734,2844.72009777791,2343.59519233787,2662.65007202543,734.963326570794,2091.82892782625,577.144851280557,4138.13821767255,2525.85326416874,1666.2409854268,1316.31151484667,2613.21864937669,1707.90896308733,5694.48035799613,8230.98161859529,1352.03423636368,1726.95561714885,1998.00771333167,2067.05559146539,2373.67146202709,1008.67136012531,837.52398335363,3917.9221043519,12047.0704838809,8111.81848438525,1861.59892047474,2003.58034817997,2289.95579146806,1276.02600427317,1071.74935226602,656.291639259234,653.059328007452,837.114002088946,2606.31805688163,2228.50966743324,1726.22067831539,1701.16344706221,337.752943789999,1379.81624728909,5623.82203358197,1238.35862987922,1099.4614660144,2193.08485500721,3686.54247542237,6854.80570227436,5372.65625876073,9291.74992279184,3449.49185886224,3351.98427284227,3600.67713163131,730.45983269268,281.754993010934,2228.02027446532,2805.18395411779,1337.74557757955,1029.68062489981,783.618419788768,903.354284325139,2704.65047366562,4854.35319244354,3987.75679861555,4559.95340705756,3819.91187426616,6506.37606810628,2761.01756096959,5537.73425802109,5107.07097275479,2171.41960317168,2076.39250620785,1897.85442642207,2050.67335418601,1496.00593980414,4057.71678158095,3021.88264750171,3347.5599428241,2237.66653799866,1903.20992326781,2555.65718462769,2019.3155283142,1901.6758589552,822.923836936308,2238.90051937941,2915.13290934532,4498.34197373342,6439.09249264823,1126.51795977412,919.517567912181,248.38156455545,1033.34287502603,875.413824650863,1877.53477188416,1356.17947601091,480.652679276649,617.399948828392,1181.46336006284,919.635739527383,3605.40857741175,3009.13381728954,4215.44992961294,3286.9394818578,1605.92410083268,4776.96668242271,4873.68389781762,1758.22328041626,557.193611574378,2778.39416223343,5245.81796737159,643.720275200352,1584.80585512218,109.044656118141,1665.58175507136,2993.63952988963,2840.0994688626,4392.39868880567,2370.16100979716,2814.59730509152,4479.65490347271,4836.68807969628,630.821725136967,2769.4339994483,2201.17740052808,2518.93142692638,1714.98505990167,985.836278112092,3459.98449611889,3291.54189430344,1427.51795161123,2856.56023753241,1196.04827317281,1717.0723329916,1396.20706233992,2910.36185283349,3288.23101161258,2714.54250756442,1818.28477346973,3850.88584080064,2859.09318393048,1384.68012869028,381.481365203131,1800.57631671969,2023.72676835481,350.022273960755,249.516050294746,643.199000252661,322.951987143319,2310.50561807095,1631.85425992107,729.65510249218,2685.02268916403,4093.62763813625,2765.75011819321,3249.24328172776,3126.84610741571,1039.44837479074,234.622743005298,1572.24211474135,1714.81443957567,5249.93189696602,4037.95790148329,3414.10062102656,707.343705156676,2191.41102912499,2196.12892679697,4153.31320543086,2011.0495697594,1258.08886740192,1144.89119858067,1015.23796093545,2831.51640947139,1910.225422495,4105.76759223656,711.960425411268,1712.56922208559,1650.19473007292,2147.04722360938,2853.28691440057,2257.48010804811,1703.99851333004,3659.8771608586,3074.47873411252,3613.5184368419,3259.1605361652,280.745122844163,370.051868203466,1575.75180922484,1322.36009489187,473.902905127619,3005.46987628626,755.62686520393,1724.47810109064,4467.00678967892,1405.1245211286,1543.30501419208,3945.45612099467,3530.1998713378,922.563295491417,727.936639704087,810.575712488106,2234.49760223946,1442.06434234445,1312.61818484689,3273.29073844149,3074.74926605001,2640.41381937452
Sign.02,179.868508001455,292.103739313121,1139.26604910411,508.532117300761,458.899115845463,96.7268145990043,1435.83369528884,251.699063412334,1638.01310438613,1941.20375582859,1527.69059770253,1493.18518515066,1132.18191046817,1653.26909573245,1035.46910972516,1638.64805273419,1394.40023141755,1819.50539006003,1336.02310726501,550.47011489397,598.754699854277,802.730089013321,2707.58375054599,507.490316608184,535.639573666832,662.691604564957,338.788295006798,665.167307765547,1444.53376202515,852.381211930678,555.355414541844,1191.00066199013,1343.58703824319,748.75238423851,577.260516101073,553.868701599025,459.449634514282,510.032008510777,777.180102587027,1155.97892089509,133.017108309096,1070.85185484274,1622.00670140407,842.507187809046,877.118076244039,875.823325366677,1057.81446560251,2138.32857113553,1781.47350150372,1125.02327390741,794.828310405605,873.529494697596,784.427784751361,628.233149030347,413.51185744484,1102.04764420829,624.153544386737,127.119805932756,486.439093797795,362.034374349525,499.418184019637,971.89991404564,528.523110363316,1124.22066672514,804.562050288028,5280.51600237801,579.319804679828,3866.17774116351,3588.64831594471,3666.59199052675,785.731114173832,1293.68496865868,130.702352654622,3297.30665708301,757.391771084892,112.692948814626,541.393074882577,321.210250888169,299.921360537625,765.128813276421,371.969550979412,161.798275039564,450.968409191726,202.888099135172,639.636166365358,549.460853710517,580.5482506592,302.634566851425,256.868215608307,177.10440271656,2223.17925927384,2132.7554577548,955.323901025034,799.532273807269,2303.46453860008,761.751723547496,2506.50917372142,2812.85770806487,1933.95547845165,134.176393626525,775.468663427702,288.148760268197,1271.8864668595,2264.41143004358,61.5140881968171,378.543364376964,931.94741291714,55.2289194598837,590.884279434179,1252.25381032717,1435.96467263983,517.492314120952,957.007759878472,902.021644490947,543.143724084851,240.667744753365,1210.44997176302,682.26625153789,520.177373150662,340.878459116402,581.368309907636,438.469664076993,53.3991138431054,295.364345507993,108.767737843259,1801.00486036555,507.641303217099,237.97998376063,395.43007484708,555.350192760416,455.668232143086,1576.77507296878,2983.45510973429,444.019955676334,230.384622087194,619.871263508935,570.308716391634,513.276801641215,163.407890268152,141.491110782056,827.454520934794,2374.9874922644,1706.58929083918,623.031239333794,758.925298962293,858.999832522384,490.425797235262,443.116007877666,229.920887064121,236.23107534054,574.851078127681,923.904218736035,818.504966425,1306.89648004708,757.234569680997,90.0487016216888,415.323066726549,1904.37772189406,713.178738484743,481.689174356028,403.112172030965,627.51861690978,1215.78704087902,1437.84590539698,3460.34098315249,492.97167460766,355.577934268843,976.806672032278,614.835006539152,69.1255126400557,494.963659401024,749.987751866079,238.909976565161,184.819463278801,739.186925609042,406.992624656097,1045.74535946598,896.710961479939,645.394371306489,1316.27444004506,1142.46970139724,1672.94051395726,585.468681996936,1649.13747104924,707.352610080201,1840.11729858442,985.098738749671,2465.28637083317,424.281960498114,370.687490786002,1026.77391663007,714.15456330377,4491.05115002915,4523.41662035402,3423.61000050658,5145.69741383319,3874.00128062608,2702.75397268223,530.047621955514,453.037465164234,391.271110198872,1487.28885384489,1703.20552145455,410.597791809723,589.254176857683,460.987662888969,205.456820867186,532.935656327591,850.862491289437,869.162927703868,625.078680325623,100.706290156274,832.448214470558,3204.72601729512,695.46768451622,519.581804561694,1586.91419748734,951.584796869079,388.178043397798,1191.6518149046,1987.47433607101,359.553640899366,36.6922752047874,1272.41990409557,1914.7364365273,278.380946583625,403.299740645605,175.584593219681,347.248878452772,736.338046609511,659.355298751789,1219.56986370783,720.934807417328,795.76916647662,1123.00394409108,1158.67177995631,192.000388808665,1394.68193334302,894.120708466403,1329.09460865108,921.439613265322,110.708808335124,573.284420722298,667.929181250877,127.502524767494,503.680623318976,395.822340325312,627.995658335667,613.648399622693,874.266932599005,1860.63628609828,621.36861535113,280.148091462733,1494.62764647661,1375.13969160723,2195.64915156554,2429.41834590456,546.656342782574,490.322720863655,77.7978926304678,19.9137363238283,333.726861751285,272.987710320497,1046.38671648274,639.02496454325,598.537983228514,640.724731388282,519.738884480823,557.210031588424,620.130251633004,535.587681878214,448.219676274356,525.789770244291,781.555717777802,827.832816187068,1281.59886513497,1299.62668663957,944.00227729764,390.285269752047,927.349668673274,965.408974430336,1256.19530202416,678.502128389964,282.137041707039,584.434692424754,261.204233834572,1067.19120343996,314.638417458471,3775.90995596367,4493.01721242467,7431.58517082547,237.472673360048,638.049399983508,1204.82239742569,923.064114430128,631.203015479808,789.827134261171,740.416430690773,746.58216573172,612.454738502647,234.383217782242,8.91043515895174,319.978980177725,354.267151617065,149.784182533043,957.404272386928,207.630647627491,236.342211605798,1202.36144834987,124.608997580499,788.840549969124,1117.37203286976,1081.21291453654,526.566903536133,281.139894770652,351.961639567945,900.414558872911,582.919874386167,501.652819774691,433.112128679299,571.359795569057,818.66827393272
Sign.03,818.365410869899,476.438328418799,789.779395844035,769.529533347651,691.283386904019,610.120009344995,862.709207892606,1038.92859646645,2909.086574672,1459.90787513664,2529.32625933039,1153.73823067173,505.91606926847,864.650305522679,501.307657010695,949.512559227225,564.272406366276,568.619242746893,799.279676020264,445.382198462488,420.96978276247,926.992230857669,1198.11541265946,481.862763239344,499.648223772554,749.538773631249,318.648724472657,640.226371895166,1021.53224400144,1017.62239796985,1112.61058729481,791.118458078374,775.771767397349,661.504019730019,348.988344690691,526.22775136136,1158.31608345355,891.625002231086,638.949874426893,673.507055580559,447.188976046569,354.386658526491,610.886441036842,2388.44385670607,713.689769725944,566.612740250599,263.327063374045,545.301725605632,782.270364317845,1878.12449930993,771.508727076312,912.604374942521,797.931855498997,771.466179657268,1134.1834510959,545.965412029119,616.392118544182,122.041487678063,354.830443685518,693.070607467134,837.094472746709,765.794029687191,528.361449891828,1017.25679946207,542.123032089538,387.433970130614,299.479797389886,630.046470784887,309.045592456227,440.682136050594,760.239519818887,1314.82285474511,436.554459101381,466.092375829001,935.745526709323,185.043475017414,370.865155609323,177.734735304134,718.959203664741,612.801228159575,361.171064847457,508.861201398194,514.270683628447,190.898754439943,597.380184046506,477.505564777395,420.282170990611,910.427658897438,491.175334919584,840.102020917963,1489.1587701102,1160.55841475948,2384.73638862283,1708.58346163358,1615.23611333201,1628.88187581401,1001.7245508063,1732.0573423067,1761.16685780945,513.102907133736,376.030084065187,374.306132637999,915.039590169613,3501.96092478363,39.7863583501018,353.895380931613,842.42399009023,75.9866656914463,316.370110122637,859.613867067321,1064.23286847599,606.214812926862,863.389112209877,788.235422381259,1196.05698086375,1028.95825436522,1002.5949843598,471.519086090118,550.507899458823,387.693695925441,582.274257682179,504.409656864683,577.047434286109,376.980380817313,386.777202798487,657.141387737844,378.341654690155,1051.7704796422,876.597928361544,1001.07948448834,347.305775136113,2114.9982293415,2159.49172465066,461.203735911799,400.051160896728,397.866602281295,391.982820842816,471.987907390534,173.903688472832,546.586467322859,1676.48050664955,2011.92664173114,3801.0663753814,1008.75295069381,470.701106799566,838.40285620913,721.028629344897,523.763385137832,145.297132766264,402.305769113476,658.373427175704,813.262291465318,1112.62911681646,460.850537716084,490.059491745201,1007.46373412949,392.15824560961,1397.04564092129,651.47433708338,466.203232686218,491.311114400823,1164.82086145875,2809.169089644,930.134545239451,1573.95574837098,1466.41890952558,508.334680654628,809.041784253265,545.418051315195,1502.53971478179,404.60696658065,768.845307624956,222.092576738679,169.351667828249,421.484326950548,447.073874755965,1570.60441645786,967.173061029341,853.247149502688,1077.73562164008,961.690215472452,1103.48273237085,503.726321144029,1111.14309473815,1251.72367092515,945.785329229335,666.612526285229,545.983913334183,515.569915837002,155.762043696781,779.867733560119,583.069974092752,721.814631942971,901.607222064528,650.128280309385,819.195743790315,519.498162263113,381.021832772219,265.364993978389,1483.12798011716,384.736066065531,965.041595430464,2005.24790906514,1437.04605753581,968.412330262627,294.036172892585,489.747572076372,381.911995678818,496.275962977665,448.755151181909,345.273607985081,473.214191269537,413.007558531337,548.447664032954,1554.47658535254,1497.83183724894,1911.62325560743,1256.53470129521,855.303078803499,873.522375206955,990.751107057404,319.756790049276,600.466837197558,646.670110137669,981.269823318476,557.263625439341,401.705236317256,366.836963473251,260.12265892717,849.318642026346,595.203238216957,1147.82465909764,584.312482043454,597.637722806188,970.506547556297,763.771822803635,652.274305713472,740.164738631227,649.793886786661,694.754814613957,678.169364105618,442.064039302568,1074.86224885621,1624.31244310727,1164.32010837707,462.892822491274,427.308897281843,445.897320044006,573.383280328531,689.453700256279,977.984451762068,668.07997483643,674.218811407714,566.952924010168,1081.64079601005,367.451864938165,198.167404997658,285.226877684608,341.768249121413,79.1765156451877,8.26375938249045e-17,489.939980949486,228.520991270274,546.553007398336,770.290360910552,344.305523407615,2001.05292701309,487.141929783266,823.993829403554,862.738355952575,601.432745536659,358.252094567643,291.616395414583,745.999978349367,716.871542774163,911.786060742164,896.105695902861,505.664770621348,371.169657746167,606.660202522493,372.528729602967,746.660676107949,662.707097356675,224.159703981259,805.639530649283,735.823465665483,667.910516532225,370.593236840788,777.066614683695,395.334580042855,515.64072146689,185.611461221115,447.022361870923,710.630454815165,437.844076600447,443.574537723791,865.484988465061,745.522759792856,1085.10833919483,899.092332548437,466.210721257915,73.4174390105145,585.533587304336,402.382619256944,226.881548877327,926.491102280069,259.452229913922,209.720988295464,997.637468855438,272.054603542409,500.998419342018,851.255892228096,836.650465198313,347.805389664129,347.7086407303,501.48105557812,563.581385610433,464.774978492867,270.365495454023,528.019769374368,1264.05707675755,893.822646123204
