Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0023_SU_T1-R3	301	0.935	110.645	36.759%	14.609	35.505%	0.14782	0.847
CRUK0023_SU_T1-R4	103	0.851	66.922	64.973%	9.222	52.633%	0.42732	0.754
CRUK0024_SU_T1-R1	355	0.844	189.648	53.422%	27.056	53.886%	0.20102	0.644
CRUK0024_SU_T1-R2	36	0.663	38.652	107.367%	5.713	75.015%	0.99141	0.52
CRUK0024_SU_T1-R3	884	0.967	230.919	26.122%	30.912	25.708%	0.06503	0.923
CRUK0024_SU_T1-R4	613	0.945	199.697	32.577%	26.369	32.974%	0.10063	0.852
CRUK0024_SU_T1-R6	684	0.924	255.817	37.4%	34.705	38.695%	0.11443	0.803
CRUK0025_SU_T1-R1	1647	0.99	261.659	15.887%	36.43	14.645%	0.02586	0.981
CRUK0025_SU_T1-R2	3046	0.99	409.359	13.439%	63.423	13.957%	0.01606	0.982
CRUK0025_SU_T1-R3	1235	0.975	288.501	23.36%	42.093	22.193%	0.05227	0.955
CRUK0026_SU_T1-R1	201	0.891	95.561	47.543%	13.045	46.035%	0.23195	0.764
CRUK0026_SU_T1-R2	412	0.938	165.559	40.184%	22.795	35.073%	0.16664	0.894
CRUK0027_SU_T1-R1	45	0.914	35.651	79.224%	5.35	40.912%	0.6774	0.901
CRUK0027_SU_T1-R2	332	0.912	141.65	42.666%	20.98	41.066%	0.20407	0.836
CRUK0027_SU_T1-R3	27	0.641	30.442	112.748%	4.41	76.768%	1.08664	0.484
CRUK0028_SU_T1-R1	281	0.919	118.893	42.311%	17.523	39.733%	0.19847	0.858
CRUK0028_SU_T1-R2	228	0.906	102.262	44.852%	14.75	42.615%	0.20706	0.822
CRUK0029_SU_T1-R1	126	0.806	92.794	73.646%	12.734	59.244%	0.46245	0.676
CRUK0029_SU_T1-R2	290	0.929	113.008	38.968%	14.865	37.024%	0.16108	0.837
CRUK0029_SU_T1-R4	1123	0.979	246.615	21.96%	32.574	20.421%	0.04159	0.956
CRUK0029_SU_T1-R5	278	0.933	107.622	38.713%	16.28	36.133%	0.15538	0.886
CRUK0029_SU_T1-R6	1025	0.973	249.061	24.299%	33.102	23.216%	0.05536	0.94
CRUK0029_SU_T1-R7	225	0.901	108.468	48.208%	16.25	43.414%	0.31435	0.837
CRUK0029_SU_T1-R8	699	0.979	161.971	23.172%	22.5	20.523%	0.05822	0.963
CRUK0030_SU_T2-R1	240	0.899	138.728	57.803%	20.013	44.137%	0.29513	0.856
CRUK0030_SU_T2-R2	265	0.915	123.203	46.492%	16.683	40.356%	0.21009	0.846
CRUK0030_SU_T2-R3	360	0.949	134.374	37.326%	20.145	31.804%	0.14412	0.924
CRUK0031_SU_T1-R1	2055	0.989	327.839	15.953%	44.057	14.706%	0.0242	0.979
CRUK0031_SU_T1-R2	1290	0.976	289.843	22.468%	38.992	21.971%	0.04428	0.946
CRUK0031_SU_T1-R3	1916	0.977	406.198	21.2%	56.068	21.33%	0.03844	0.948
CRUK0032_SU_T1-R1	253	0.974	107.852	42.629%	15.394	22.67%	0.20706	0.97
CRUK0032_SU_T1-R2	555	0.957	166.525	30.005%	22.185	29.033%	0.0908	0.905
CRUK0032_SU_T1-R3	444	0.959	158.316	35.657%	20.973	28.477%	0.12557	0.934
CRUK0032_SU_T1-R4	555	0.944	175.559	31.632%	24.508	33.08%	0.08895	0.858
CRUK0033_SU_T1-R1	416	0.959	127.333	30.609%	18.185	28.696%	0.10886	0.925
CRUK0033_SU_T1-R2	568	0.968	164.492	28.96%	22.779	25.122%	0.10951	0.946
CRUK0034_SU_T1-R1	214	0.905	115.249	53.855%	17.458	44.808%	0.30877	0.864
CRUK0034_SU_T1-R2	556	0.893	220.258	39.615%	34.165	45.269%	0.12983	0.736
CRUK0034_SU_T1-R3	487	0.947	165.677	34.02%	23.297	32.454%	0.12144	0.896
CRUK0035_SU_T1-R1	123	0.75	90.931	73.928%	13.533	67.75%	0.65034	0.556
CRUK0035_SU_T1-R2	178	0.946	90.638	50.92%	14.253	34.467%	0.30069	0.934
CRUK0035_SU_T1-R3	168	0.852	104.632	62.281%	13.762	52.391%	0.3377	0.725
CRUK0036_SU_T1-R1	143	0.841	81.363	56.897%	13.138	54.134%	0.33797	0.737
CRUK0036_SU_T1-R2	587	0.958	156.52	26.664%	23.18	28.736%	0.07591	0.903
CRUK0036_SU_T1-R3	275	0.924	121.152	44.055%	17.492	38.456%	0.19198	0.874
CRUK0036_SU_T1-R4	200	0.838	111.778	55.889%	17.047	54.735%	0.31158	0.692
CRUK0037_SU_T1-R1	752	0.969	208.055	27.667%	26.228	24.682%	0.07943	0.935
CRUK0037_SU_T1-R2	434	0.917	162.318	37.4%	23.546	40.029%	0.13128	0.798
CRUK0037_SU_T1-R3	407	0.95	130.55	32.076%	20.019	31.139%	0.12817	0.913
CRUK0037_SU_T1-R4	481	0.948	169.731	35.287%	21.981	31.917%	0.1301	0.891
CRUK0037_SU_T1-R5	637	0.967	163.482	25.664%	22.749	25.328%	0.06795	0.93
CRUK0038_SU_T1-R1	308	0.979	107.734	34.979%	15.029	20.766%	0.18369	0.974
CRUK0038_SU_T1-R2	259	0.974	98.953	38.206%	13.745	22.899%	0.18258	0.967
CRUK0039_SU_T1-R1	573	0.924	201.333	35.137%	30.911	38.273%	0.105	0.833
CRUK0039_SU_T1-R2	599	0.942	186.777	31.181%	26.753	33.837%	0.0859	0.853
CRUK0039_SU_T1-R3	589	0.927	204.445	34.711%	29.476	37.743%	0.10958	0.812
CRUK0040_SU_T1-R1	142	0.877	86.396	60.842%	10.716	48.116%	0.35183	0.774
CRUK0040_SU_T1-R2	219	0.867	115.086	52.551%	16.202	49.882%	0.28092	0.726
CRUK0041_SU_T1-R1	716	0.969	184.433	25.759%	25.369	24.784%	0.07957	0.936
CRUK0041_SU_T1-R2	655	0.958	192.525	29.393%	28.354	28.711%	0.08906	0.921
CRUK0041_SU_T1-R3	1089	0.976	259.439	23.824%	34.832	21.598%	0.06146	0.955
CRUK0041_SU_T1-R4	256	0.932	109.148	42.636%	15.45	36.255%	0.22921	0.89
CRUK0042_SU_T1-R1	110	0.772	83.75	76.136%	11.751	63.729%	0.54468	0.602
CRUK0042_SU_T1-R2	38	0.709	37.401	98.424%	5.65	70.625%	0.85322	0.594
CRUK0043_SU_T1-R1	499	0.973	141.351	28.327%	19.149	23.196%	0.09277	0.958
CRUK0043_SU_T1-R2	690	0.959	201.957	29.269%	29.633	28.485%	0.09215	0.923
CRUK0044_SU_T1-R1	173	0.759	130.814	75.615%	19.67	65.385%	0.49251	0.6
CRUK0044_SU_T1-R2	14	0.534	20.537	146.693%	3.589	84.594%	1.67133	0.441
CRUK0045_SU_T1-R1	97	0.879	68.544	70.664%	10.742	47.613%	0.46007	0.848
CRUK0045_SU_T1-R2	136	0.945	78.057	57.395%	12.241	34.734%	0.36186	0.936
CRUK0045_SU_T1-R3	111	0.858	69.674	62.769%	9.808	51.909%	0.35499	0.776
CRUK0046_SU_T1-R1	552	0.961	166.342	30.134%	24.109	27.876%	0.10142	0.931
CRUK0046_SU_T1-R2	240	0.849	135.961	56.65%	18.114	53.276%	0.2899	0.658
CRUK0046_SU_T1-R3	379	0.905	162.616	42.907%	23.166	42.487%	0.16822	0.799
CRUK0046_SU_T1-R4	375	0.941	137.858	36.762%	18.442	34.018%	0.16224	0.878
CRUK0047_SU_T1-R1	235	0.916	110.374	46.968%	14.674	40.131%	0.22408	0.847
CRUK0047_SU_T1-R2	598	0.953	178.79	29.898%	26.987	30.18%	0.08757	0.911
CRUK0048_SU_T1-R1	272	0.975	111.084	40.84%	20.095	23.325%	0.20314	0.973
CRUK0048_SU_T1-R2	1081	0.972	262.091	24.245%	38.662	23.683%	0.05937	0.948
CRUK0048_SU_T1-R3	841	0.982	196.15	23.323%	27.314	19.109%	0.07754	0.972
CRUK0049_SU_T1-R1	700	0.927	258.664	36.952%	41.492	37.642%	0.11694	0.873
CRUK0049_SU_T1-R2	661	0.902	253.341	38.327%	42.877	43.368%	0.12728	0.808
CRUK0050_SU_T1-R1	221	0.88	118.799	53.755%	16.055	47.782%	0.29618	0.771
CRUK0050_SU_T1-R2	251	0.856	136.615	54.428%	19.54	52.093%	0.27236	0.711
CRUK0050_SU_T1-R3	194	0.909	91.977	47.411%	12.21	41.831%	0.19439	0.823
CRUK0050_SU_T1-R4	53	0.745	51.963	98.043%	7.085	66.65%	0.77846	0.633
CRUK0050_SU_T1-R5	238	0.931	97.568	40.995%	12.913	36.553%	0.18753	0.864
CRUK0051_SU_T1-R2	369	0.88	167.314	45.343%	23.438	48.175%	0.18512	0.686
CRUK0051_SU_T1-R3	778	0.971	192.892	24.793%	25.914	24.073%	0.05881	0.935
CRUK0051_SU_T1-R4	309	0.859	158.659	51.346%	21.812	52.578%	0.22913	0.655
CRUK0052_SU_T1-R1	709	0.946	211.659	29.853%	30.659	32.449%	0.08437	0.864
CRUK0052_SU_T1-R2	260	0.903	117.586	45.225%	15.389	43.217%	0.20783	0.77
CRUK0052_SU_T1-R3	192	0.943	105.743	55.074%	18.297	34.334%	0.29853	0.935
CRUK0052_SU_T1-R4	471	0.935	167.171	35.493%	25.912	35.61%	0.12678	0.883
CRUK0053_SU_T1-R1	1752	0.953	459.863	26.248%	69.305	30.573%	0.06058	0.875
CRUK0053_SU_T1-R2	2509	0.983	455.672	18.161%	63.616	18.704%	0.02716	0.96
CRUK0054_SU_T1-R1	276	0.902	126.849	45.96%	16.875	43.085%	0.21002	0.785
CRUK0054_SU_T1-R2	433	0.964	121.462	28.051%	17.361	26.559%	0.09599	0.933
CRUK0055_SU_T1-R1	152	0.941	80.309	52.835%	13.199	34.426%	0.39384	0.93
CRUK0055_SU_T1-R2	706	0.953	221.345	31.352%	37.307	31.456%	0.08487	0.93
CRUK0055_SU_T1-R3	338	0.884	168.229	49.772%	25.483	46.855%	0.21389	0.797
CRUK0055_SU_T1-R4	349	0.833	186.514	53.442%	28.4	56.163%	0.22401	0.645
CRUK0056_SU_T1-R1	277	0.947	110.529	39.902%	14.681	32.014%	0.17958	0.914
CRUK0056_SU_T1-R2	323	0.942	115.524	35.766%	16.385	33.523%	0.14578	0.891
CRUK0056_SU_T1-R3	404	0.944	133.85	33.131%	17.443	32.964%	0.09805	0.853
CRUK0057_SU_T1-R1	612	0.896	250.788	40.978%	35.543	45.419%	0.13389	0.709
CRUK0057_SU_T1-R2	644	0.97	230.704	35.824%	36.735	24.462%	0.14229	0.963
CRUK0058_SU_T1-R1	757	0.974	185.481	24.502%	25.46	22.462%	0.06602	0.952
CRUK0058_SU_T1-R2	772	0.964	222.577	28.831%	29.437	26.416%	0.07691	0.928
CRUK0059_SU_T1-R1	148	0.856	90.606	61.22%	12.655	51.924%	0.35052	0.754
CRUK0059_SU_T1-R2	155	0.823	103.845	66.997%	14.344	56.833%	0.4003	0.686
CRUK0060_SU_T1-R1	680	0.837	334.691	49.219%	56.186	55.725%	0.18177	0.673
CRUK0060_SU_T1-R2	191	0.86	108.822	56.975%	15.008	51.029%	0.31328	0.732
CRUK0061_SU_T1-R1	698	0.966	182.085	26.087%	25.846	25.987%	0.07639	0.93
CRUK0061_SU_T1-R2	55	0.804	45.981	83.602%	6.44	59.538%	0.68519	0.719
CRUK0062_SU_T1-R1	1812	0.99	272.574	15.043%	37.896	13.947%	0.02465	0.982
CRUK0062_SU_T1-R2	2245	0.991	313.085	13.946%	43.955	13.494%	0.01876	0.982
CRUK0062_SU_T1-R3	1693	0.983	311.565	18.403%	45.636	18.46%	0.03109	0.966
CRUK0062_SU_T1-R4	2610	0.994	310.614	11.901%	44.103	11.16%	0.01508	0.989
CRUK0062_SU_T1-R5	890	0.972	231.487	26.01%	30.721	23.664%	0.07452	0.944
CRUK0062_SU_T1-R6	288	0.858	152.73	53.031%	21.884	51.467%	0.25877	0.707
CRUK0062_SU_T1-R7	2951	0.99	440.041	14.912%	60.1	13.762%	0.02183	0.982
CRUK0063_SU_T1-R3	198	0.925	101.075	51.048%	14.085	38.054%	0.28681	0.891
CRUK0063_SU_T1-R4	372	0.888	151.556	40.741%	24.514	46.016%	0.1837	0.756
CRUK0063_SU_T1-R5	460	0.929	158.874	34.538%	24.36	37.08%	0.12581	0.848
CRUK0063_SU_T1-R6	96	0.911	66.983	69.774%	10.291	41.464%	0.57609	0.894
CRUK0063_SU_T1-R7	59	0.73	50.182	85.054%	7.609	68.608%	0.65667	0.585
CRUK0064_SU_T1-R1	257	0.909	116.398	45.291%	15.415	41.754%	0.20902	0.808
CRUK0064_SU_T1-R2	106	0.762	83.194	78.485%	11.168	65.133%	0.56247	0.563
CRUK0065_SU_T1-R1	1703	0.981	307.573	18.061%	48.788	19.261%	0.0274	0.964
CRUK0065_SU_T1-R2	1401	0.985	246.703	17.609%	34.42	17.162%	0.03207	0.971
CRUK0065_SU_T1-R3	588	0.947	179.321	30.497%	25.772	32.336%	0.08065	0.873
CRUK0065_SU_T1-R4	796	0.965	209.758	26.352%	28.58	26.382%	0.06941	0.919
CRUK0065_SU_T1-R5	938	0.963	245.825	26.207%	35.917	27.077%	0.07052	0.92
CRUK0065_SU_T1-R6	1231	0.978	259.664	21.094%	38.188	20.988%	0.04726	0.957
CRUK0065_SU_T1-R7	202	0.884	96.837	47.939%	12.968	47.227%	0.26583	0.717
CRUK0066_SU_T1-R1	444	0.877	237.178	53.418%	41.365	49.434%	0.26639	0.833
CRUK0066_SU_T1-R2	113	0.855	72.309	63.99%	10.18	52.017%	0.38345	0.768
CRUK0066_SU_T1-R3	180	0.852	104.114	57.841%	14.452	52.423%	0.32573	0.711
CRUK0066_SU_T1-R4	1134	0.947	331.576	29.24%	54.972	32.782%	0.08133	0.9
CRUK0067_SU_T1-R1	818	0.946	269.572	32.955%	43.386	32.799%	0.09209	0.912
CRUK0067_SU_T1-R3	1142	0.933	368.684	32.284%	58.98	36.045%	0.10077	0.86
CRUK0068_SU_T1-R1	415	0.906	165.476	39.874%	24.453	42.267%	0.16262	0.785
CRUK0068_SU_T1-R2	106	0.869	73.135	68.995%	11.019	49.577%	0.45667	0.824
CRUK0068_SU_T1-R3	411	0.923	151.738	36.919%	20.849	38.857%	0.13732	0.796
CRUK0068_SU_T1-R4	239	0.864	132.447	55.417%	18.429	50.325%	0.29352	0.739
CRUK0069_SU_T1-R1	437	0.9	182.515	41.765%	25.458	44.084%	0.15211	0.742
CRUK0069_SU_T1-R2	386	0.896	165.862	42.969%	22.836	44.802%	0.15756	0.728
CRUK0069_SU_T1-R3	385	0.926	154.633	40.164%	23.61	37.753%	0.17254	0.874
CRUK0069_SU_T1-R4	388	0.88	184.937	47.664%	25.407	48.015%	0.19966	0.711
CRUK0069_SU_T1-R5	415	0.906	165.156	39.797%	23.218	43.048%	0.14723	0.747
CRUK0070_SU_T1-R1	2844	0.993	390.041	13.715%	50.337	12.074%	0.0182	0.986
CRUK0070_SU_T1-R2	2111	0.989	357.589	16.939%	45.831	14.708%	0.03052	0.979
CRUK0070_SU_T1-R4	1303	0.97	322.124	24.722%	43.407	24.192%	0.05657	0.933
CRUK0070_SU_T1-R6	1179	0.97	291.462	24.721%	41.179	24.377%	0.06028	0.94
CRUK0070_SU_T1-R7	174	0.977	81.829	47.028%	13.584	23.647%	0.29785	0.976
CRUK0071_SU_T1-R1	1578	0.981	324.755	20.58%	45.8	19.414%	0.03765	0.964
CRUK0071_SU_T1-R2	461	0.95	145.199	31.497%	20.779	31.188%	0.09551	0.898
CRUK0071_SU_T1-R3	544	0.958	170.223	31.291%	24.325	28.604%	0.10171	0.926
CRUK0071_SU_T1-R5	104	0.904	77.902	74.906%	13.326	42.876%	0.61175	0.89
CRUK0071_SU_T1-R6	336	0.914	132.742	39.507%	18.357	41.233%	0.15086	0.786
CRUK0071_SU_T1-R7	1406	0.985	261.65	18.61%	35.562	17.068%	0.03631	0.972
CRUK0072_SU_T1-R1	822	0.96	225.705	27.458%	32.564	27.925%	0.06698	0.916
CRUK0072_SU_T1-R2	2187	0.99	334.707	15.304%	45.227	13.78%	0.02397	0.982
CRUK0072_SU_T1-R3	296	0.87	149.917	50.648%	22.156	49.394%	0.26332	0.744
CRUK0072_SU_T1-R4	2021	0.989	307.178	15.199%	45.188	14.706%	0.02036	0.981
CRUK0073_SU_T1-R1	3360	0.988	514.428	15.31%	75.544	15.66%	0.02079	0.975
CRUK0073_SU_T1-R2	888	0.962	256.299	28.862%	35.854	27.669%	0.07011	0.925
CRUK0074_SU_T1-R1	969	0.918	349.086	36.025%	59.386	40.343%	0.11099	0.858
CRUK0074_SU_T1-R2	352	0.911	141.186	40.11%	22.718	42.042%	0.16457	0.846
CRUK0074_SU_T1-R3	195	0.844	115.877	59.424%	17.335	53.883%	0.31756	0.735
CRUK0075_SU_T1-R1	340	0.907	134.93	39.685%	19.19	43.018%	0.15988	0.762
CRUK0075_SU_T1-R2	1084	0.975	247.445	22.827%	33.741	22.241%	0.04982	0.946
CRUK0076_SU_T1-R1	1084	0.977	235.248	21.702%	33.737	21.178%	0.04547	0.956
CRUK0076_SU_T1-R2	1405	0.979	299.052	21.285%	40.589	21.005%	0.04705	0.955
CRUK0076_SU_T1-R3	860	0.949	248.112	28.85%	35.677	32.271%	0.08263	0.869
CRUK0076_SU_T1-R4	1001	0.959	280.286	28.001%	39.236	28.681%	0.07227	0.908
CRUK0077_SU_T1-R1	427	0.903	187.987	44.025%	24.93	43.603%	0.15873	0.764
CRUK0077_SU_T1-R2	1416	0.977	319.087	22.534%	47.19	21.417%	0.04888	0.959
CRUK0077_SU_T1-R3	3436	0.994	468.219	13.627%	59.245	11.414%	0.01798	0.988
CRUK0078_SU_T1-R2	313	0.942	125.604	40.129%	18.455	33.722%	0.22217	0.911
CRUK0078_SU_T1-R3	158	0.951	79.059	50.037%	13.693	31.169%	0.30495	0.943
CRUK0078_SU_T1-R4	87	0.863	60.629	69.689%	8.219	50.681%	0.45712	0.798
CRUK0079_SU_T1-R1	622	0.966	171.597	27.588%	24.683	25.918%	0.08089	0.938
CRUK0079_SU_T1-R2	1023	0.979	214.379	20.956%	29.719	20.586%	0.03782	0.958
CRUK0079_SU_T1-R3	1157	0.979	254.257	21.976%	34.54	20.629%	0.04846	0.957
CRUK0079_SU_T1-R4	1140	0.981	236.511	20.747%	32.059	19.412%	0.04459	0.962
CRUK0080_SU_T1-R2	181	0.897	103.723	57.306%	16.86	44.17%	0.34338	0.863
CRUK0080_SU_T1-R3	180	0.867	105.463	58.591%	15.926	49.915%	0.35491	0.792
CRUK0080_SU_T1-R4	273	0.898	135.868	49.768%	19.609	44.191%	0.2317	0.825
CRUK0080_SU_T1-R5	333	0.916	132.457	39.777%	18.206	40.259%	0.15214	0.798
CRUK0080_SU_T1-R6	324	0.949	133.452	41.189%	16.813	31.694%	0.17974	0.916
CRUK0081_SU_T1-R1	143	0.824	89.432	62.54%	11.816	57.048%	0.35217	0.614
CRUK0081_SU_T1-R5	440	0.938	151.608	34.456%	20.632	35.005%	0.11065	0.848
CRUK0081_SU_T1-R6	43	0.73	46.722	108.656%	7.27	69.004%	0.94948	0.666
CRUK0082_SU_T1-R1	844	0.984	177.599	21.043%	22.976	17.749%	0.07651	0.972
CRUK0082_SU_T1-R2	524	0.948	184.039	35.122%	26.471	31.693%	0.11908	0.911
CRUK0082_SU_T1-R3	260	0.912	123.266	47.41%	17.025	41.027%	0.23077	0.846
CRUK0082_SU_T1-R4	1067	0.974	256.227	24.014%	34.019	22.769%	0.05176	0.945
CRUK0082_SU_T1-R5	482	0.922	173.411	35.977%	24.91	39.162%	0.1316	0.804
CRUK0083_SU_T1-R1	1555	0.984	282.905	18.193%	39.251	17.998%	0.03163	0.965
CRUK0083_SU_T1-R2	1821	0.984	304.111	16.7%	45.638	17.739%	0.02761	0.968
CRUK0083_SU_T1-R3	1261	0.965	304.496	24.147%	43.579	26.241%	0.05749	0.911
CRUK0083_SU_T1-R4	3044	0.993	367.907	12.086%	53.322	11.971%	0.01362	0.986
CRUK0084_SU_T1-R1	869	0.966	246.577	28.375%	34.456	25.818%	0.07951	0.938
CRUK0084_SU_T1-R2	913	0.978	216.207	23.681%	27.879	20.697%	0.06279	0.958
CRUK0084_SU_T1-R3	491	0.956	155.939	31.759%	21.915	29.361%	0.11584	0.918
CRUK0084_SU_T1-R4	633	0.972	162.903	25.735%	22.203	23.307%	0.07677	0.948
CRUK0085_SU_T1-R1	378	0.855	165.754	43.85%	30.065	51.944%	0.18226	0.717
