NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	237.435	54.359	34.471	46.2	0.317	0.778	6500.0
2	237.094	54.284	34.321	46.321	0.316	0.775	5500.0
3	236.788	54.429	34.201	46.302	0.319	0.775	7500.0
4	238.426	54.753	34.75	46.623	0.32	0.775	8000.0
5	236.6	54.638	34.321	46.36	0.32	0.776	3500.0
6	238.446	54.704	34.636	46.675	0.318	0.773	4500.0
7	237.306	54.574	34.413	46.466	0.32	0.776	5000.0
8	236.909	54.795	34.363	46.633	0.321	0.773	5000.0
9	236.395	54.454	34.328	46.457	0.318	0.774	4500.0
10	239.611	55.081	34.593	46.555	0.322	0.774	15000.0
11	236.317	54.515	34.344	46.445	0.321	0.776	7000.0
12	236.604	54.261	34.311	46.182	0.315	0.779	5500.0
13	238.391	54.432	34.577	46.578	0.319	0.773	4000.0
14	240.258	55.312	35.026	47.007	0.326	0.77	5000.0
15	239.402	54.887	34.716	46.488	0.321	0.774	4000.0
16	237.555	54.759	34.519	46.693	0.32	0.773	4500.0
17	237.384	54.577	34.68	46.842	0.317	0.771	4000.0
18	237.051	54.617	34.384	46.553	0.32	0.774	4500.0
19	238.553	55.022	34.548	46.649	0.324	0.773	4500.0
20	236.406	54.479	34.388	46.443	0.319	0.775	5000.0
21	236.832	54.497	34.245	46.504	0.319	0.773	5000.0
22	236.372	54.157	34.315	46.194	0.315	0.778	4000.0
23	237.245	54.603	34.422	46.398	0.319	0.777	6500.0
24	236.627	54.575	34.319	46.407	0.32	0.774	7500.0
25	237.25	54.495	34.569	46.605	0.318	0.772	8500.0
26	237.757	54.651	34.403	46.449	0.32	0.775	8000.0
27	235.312	54.266	34.017	46.204	0.315	0.777	5500.0
28	237.146	54.631	34.582	46.502	0.318	0.775	3500.0
29	238.443	54.87	34.978	46.821	0.325	0.773	4500.0
30	236.018	54.446	34.189	46.243	0.319	0.776	4500.0
31	239.439	54.739	34.758	46.692	0.321	0.772	10500.0
32	238.411	54.717	34.568	46.775	0.32	0.771	8000.0
33	237.141	54.517	34.47	46.466	0.32	0.775	9000.0
34	237.582	54.768	34.401	46.682	0.321	0.772	6500.0
35	237.408	54.475	34.503	46.423	0.316	0.776	7500.0
36	237.659	54.439	34.453	46.237	0.318	0.776	6500.0
37	237.646	54.52	34.406	46.408	0.317	0.776	4000.0
38	236.476	54.313	34.314	46.269	0.317	0.775	8000.0
39	237.105	54.488	34.59	46.518	0.323	0.775	7000.0
40	236.821	54.518	34.443	46.548	0.321	0.772	8000.0
41	237.896	54.921	34.459	46.551	0.32	0.775	4000.0
42	237.422	54.619	34.407	46.44	0.32	0.775	6500.0
43	237.904	54.42	34.694	46.582	0.318	0.775	5000.0
44	236.64	54.574	34.359	46.482	0.32	0.774	4000.0
45	236.468	54.605	34.292	46.373	0.321	0.777	5000.0
46	237.101	54.582	34.458	46.476	0.32	0.775	6000.0
47	237.515	54.588	34.423	46.521	0.319	0.774	5000.0
48	237.71	54.651	34.6	46.684	0.321	0.772	5500.0
49	238.773	54.581	34.616	46.652	0.321	0.772	5000.0
50	237.224	54.694	34.422	46.498	0.318	0.775	5000.0
51	236.252	54.541	34.231	46.324	0.323	0.776	6000.0
52	237.299	54.535	34.298	46.206	0.319	0.778	6000.0
53	238.905	54.739	34.768	46.586	0.321	0.775	4000.0
54	238.193	54.559	34.642	46.587	0.319	0.774	5500.0
55	237.409	54.619	34.267	46.387	0.321	0.776	3500.0
56	237.261	54.333	34.294	46.271	0.317	0.776	7500.0
57	236.721	54.614	34.458	46.516	0.324	0.773	8500.0
58	236.715	54.685	34.53	46.664	0.32	0.774	5000.0
59	236.766	54.593	34.365	46.439	0.32	0.775	5500.0
60	239.876	55.238	34.855	46.93	0.324	0.771	9500.0
61	235.944	54.668	34.204	46.562	0.321	0.771	5000.0
62	236.935	54.515	34.505	46.418	0.321	0.776	7000.0
63	237.114	54.531	34.307	46.31	0.319	0.775	7000.0
64	237.26	54.428	34.543	46.481	0.32	0.775	12000.0
65	235.794	54.674	34.441	46.668	0.322	0.771	4000.0
66	235.045	53.958	34.184	46.096	0.316	0.778	5500.0
67	238.913	55.003	34.736	46.788	0.324	0.772	7500.0
68	236.014	54.514	34.496	46.558	0.32	0.775	3500.0
69	238.121	54.646	34.459	46.447	0.319	0.777	7500.0
70	237.386	54.633	34.601	46.509	0.323	0.773	19000.0
71	236.855	54.722	34.48	46.567	0.322	0.772	8000.0
72	238.993	54.591	34.751	46.596	0.32	0.773	10500.0
73	236.692	54.593	34.246	46.363	0.321	0.775	5000.0
74	237.428	54.663	34.547	46.569	0.32	0.775	4500.0
75	238.116	54.838	34.547	46.616	0.321	0.774	5000.0
76	236.554	54.133	34.258	46.039	0.314	0.778	8000.0
77	236.792	54.497	34.401	46.471	0.321	0.775	7500.0
78	237.718	54.742	34.642	46.703	0.321	0.772	16000.0
79	239.106	55.047	34.739	46.873	0.323	0.771	7500.0
80	238.185	54.667	34.549	46.659	0.321	0.772	3500.0
81	237.653	54.622	34.615	46.529	0.319	0.776	4500.0
82	238.908	54.99	34.687	46.801	0.324	0.773	7500.0
83	238.857	54.645	34.552	46.496	0.32	0.774	10500.0
84	237.603	54.535	34.562	46.508	0.32	0.774	7500.0
85	236.773	54.618	34.557	46.783	0.321	0.772	8500.0
86	237.948	54.551	34.482	46.675	0.32	0.77	6000.0
87	236.119	54.604	34.389	46.538	0.32	0.773	17000.0
88	236.968	54.554	34.402	46.517	0.319	0.774	11500.0
89	236.822	54.135	34.275	46.246	0.313	0.777	6500.0
90	237.739	54.59	34.667	46.573	0.32	0.773	3000.0
91	237.72	54.374	34.417	46.216	0.315	0.779	4000.0
92	235.72	54.306	34.114	46.197	0.319	0.776	6500.0
93	236.698	54.201	34.147	46.31	0.314	0.777	5500.0
94	237.625	54.721	34.691	46.745	0.319	0.772	7000.0
95	236.519	54.586	34.479	46.682	0.317	0.774	5000.0
96	238.947	54.746	34.704	46.866	0.322	0.771	5500.0
97	235.316	54.406	34.053	46.181	0.32	0.778	6000.0
98	235.921	54.328	34.213	46.217	0.317	0.778	15000.0
99	236.907	54.27	34.353	46.265	0.316	0.777	5500.0
100	237.309	54.6	34.343	46.57	0.321	0.773	6000.0
