Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0059_SU_T1-R2	1.77E+00	8.43E-01	1.48E+00	2.07E+00	6.60E-01
CRUK0060_SU_T1-R1	2.55E+00	2.63E+00	2.14E+00	1.63E+00	8.89E-01
CRUK0060_SU_T1-R2	1.33E+00	1.30E+00	1.42E+00	1.57E+00	9.12E-01
CRUK0061_SU_T1-R1	5.32E+00	1.56E+00	5.36E+00	1.96E+00	1.50E+00
CRUK0061_SU_T1-R2	7.27E-01	3.79E-01	6.41E-01	8.91E-02	2.25E-01
CRUK0062_SU_T1-R1	1.48E+01	3.44E+00	1.42E+01	5.66E+00	1.24E+00
CRUK0062_SU_T1-R2	2.17E+01	3.48E+00	1.88E+01	9.80E+00	1.04E+00
CRUK0062_SU_T1-R3	1.52E+01	3.34E+00	1.38E+01	5.22E+00	1.02E+00
CRUK0062_SU_T1-R4	2.44E+01	3.82E+00	2.31E+01	8.84E+00	1.32E+00
CRUK0062_SU_T1-R5	9.17E+00	1.95E+00	8.20E+00	3.83E+00	1.06E+00
CRUK0062_SU_T1-R6	3.61E+00	1.21E+00	2.82E+00	2.28E+00	5.16E-01
CRUK0062_SU_T1-R7	2.79E+01	4.61E+00	2.66E+01	1.06E+01	1.59E+00
CRUK0063_SU_T1-R3	1.39E+00	1.03E+00	1.34E+00	1.23E+00	1.02E+00
CRUK0063_SU_T1-R4	3.29E+00	1.42E+00	3.17E+00	4.54E+00	5.96E-01
CRUK0063_SU_T1-R5	3.41E+00	1.56E+00	3.47E+00	4.75E+00	8.41E-01
CRUK0063_SU_T1-R6	1.06E+00	3.50E-01	8.56E-01	6.11E-01	8.08E-01
CRUK0063_SU_T1-R7	9.98E-01	2.06E-01	8.00E-01	5.59E-01	4.11E-02
CRUK0064_SU_T1-R1	1.79E+00	1.39E+00	1.94E+00	2.08E+00	5.92E-01
CRUK0064_SU_T1-R2	1.75E+00	7.78E-01	1.62E+00	9.26E-01	4.57E-01
CRUK0065_SU_T1-R1	1.84E+01	2.91E+00	1.71E+01	8.06E+00	8.01E-01
CRUK0065_SU_T1-R2	1.51E+01	2.80E+00	1.39E+01	5.89E+00	9.82E-01
CRUK0065_SU_T1-R3	5.68E+00	1.78E+00	4.10E+00	4.36E+00	6.29E-01
CRUK0065_SU_T1-R4	7.44E+00	2.00E+00	5.87E+00	4.63E+00	9.43E-01
CRUK0065_SU_T1-R5	9.37E+00	2.09E+00	6.33E+00	6.75E+00	5.61E-01
CRUK0065_SU_T1-R6	1.29E+01	2.53E+00	1.17E+01	5.01E+00	6.05E-01
CRUK0065_SU_T1-R7	2.08E+00	1.36E+00	1.49E+00	1.65E+00	2.33E-01
CRUK0066_SU_T1-R1	3.43E+00	1.59E+00	2.46E+00	5.92E+00	2.59E+00
CRUK0066_SU_T1-R2	1.23E+00	7.27E-01	1.32E+00	7.75E-01	2.65E-01
CRUK0066_SU_T1-R3	1.51E+00	1.25E+00	1.32E+00	1.68E+00	5.98E-01
CRUK0066_SU_T1-R4	6.09E+00	2.97E+00	5.80E+00	5.53E+00	2.23E+00
CRUK0067_SU_T1-R1	5.39E+00	2.01E+00	4.98E+00	6.00E+00	3.42E+00
CRUK0067_SU_T1-R3	8.62E+00	2.31E+00	7.89E+00	6.60E+00	1.98E+00
CRUK0068_SU_T1-R1	2.60E+00	1.96E+00	2.98E+00	3.91E+00	5.33E-01
CRUK0068_SU_T1-R2	9.67E-01	0.00E+00	6.48E-01	3.86E-01	8.38E-01
CRUK0068_SU_T1-R3	2.34E+00	2.06E+00	3.43E+00	3.09E+00	8.43E-01
