Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0014_SU_T1-R1	2.74E+00	1.06E+00	2.76E+00	2.10E+00	7.09E-01
CRUK0014_SU_T1-R2	1.32E+00	5.18E-01	1.01E+00	1.10E+00	9.83E-01
CRUK0015_SU_T1-R1	3.67E+00	1.32E+00	3.89E+00	1.59E+00	8.97E-01
CRUK0015_SU_T1-R2	1.63E+00	9.02E-01	1.47E+00	8.55E-01	6.42E-01
CRUK0016_SU_T1-R1	1.69E+01	3.01E+00	1.64E+01	5.88E+00	1.96E+00
CRUK0016_SU_T1-R2	4.17E+00	3.42E+00	2.92E+01	2.77E+01	8.50E-01
CRUK0017_SU_T1-R1	4.03E+00	1.31E+00	3.87E+00	1.05E+00	2.45E-01
CRUK0017_SU_T1-R2	1.54E+00	1.67E+00	2.15E+00	2.30E+00	5.26E-01
CRUK0017_SU_T1-R3	2.32E+00	2.28E+00	2.15E+00	2.96E+00	6.70E-01
CRUK0017_SU_T1-R4	2.59E+00	2.31E+00	3.52E+00	3.46E+00	1.55E+00
CRUK0018_SU_T1-R1	3.60E+00	3.75E+00	9.03E+00	3.73E+00	3.33E+00
CRUK0018_SU_T1-R2	4.67E+00	2.21E+00	4.80E+00	2.50E+00	1.25E+00
CRUK0018_SU_T1-R3	2.12E+00	2.01E+00	3.30E+00	1.63E+00	8.83E-01
CRUK0018_SU_T1-R4	2.06E+00	2.40E+00	2.98E+00	1.61E+00	8.76E-01
CRUK0019_SU_T1-R1	2.83E+00	2.12E+00	2.26E+00	4.52E+00	1.39E+00
CRUK0019_SU_T1-R2	1.91E+01	3.83E+00	1.92E+01	6.36E+00	2.66E+00
CRUK0020_SU_T1-R1	3.95E+00	3.94E+00	1.60E+01	1.34E+01	5.44E-01
CRUK0020_SU_T1-R2	2.44E+00	2.68E+00	2.10E+00	2.45E+00	9.40E-01
CRUK0021_SU_T1-R1	1.48E+00	5.70E-01	1.34E+00	7.71E-01	3.75E-01
CRUK0021_SU_T1-R2	1.75E+00	1.18E+00	1.31E+00	1.21E+00	7.67E-01
CRUK0022_SU_T1-R1	7.11E+00	1.82E+00	7.17E+00	2.42E+00	1.45E+00
CRUK0022_SU_T1-R2	2.38E+00	1.03E+00	2.36E+00	2.22E+00	1.66E+00
CRUK0023_SU_T1-R1	1.87E+00	1.15E+00	1.48E+00	1.21E+00	4.22E-01
CRUK0023_SU_T1-R2	2.48E+00	1.39E+00	2.31E+00	2.01E+00	6.94E-01
CRUK0023_SU_T1-R3	1.94E+00	1.44E+00	2.06E+00	1.49E+00	6.90E-01
CRUK0023_SU_T1-R4	1.39E+00	7.63E-01	1.28E+00	1.07E+00	3.69E-01
CRUK0024_SU_T1-R1	1.97E+00	1.85E+00	1.78E+00	9.47E-01	4.73E-01
CRUK0024_SU_T1-R2	6.85E-01	7.99E-02	7.18E-01	3.79E-01	2.83E-01
CRUK0024_SU_T1-R3	6.03E+00	2.55E+00	6.04E+00	2.41E+00	1.04E+00
CRUK0024_SU_T1-R4	3.41E+00	2.20E+00	2.69E+00	2.64E+00	7.86E-01
CRUK0024_SU_T1-R6	3.72E+00	2.45E+00	3.10E+00	1.87E+00	7.66E-01
CRUK0025_SU_T1-R1	1.36E+01	2.62E+00	1.33E+01	6.20E+00	1.07E+00
CRUK0025_SU_T1-R2	2.41E+01	4.79E+00	2.29E+01	8.63E+00	1.63E+00
CRUK0025_SU_T1-R3	1.15E+01	2.48E+00	1.10E+01	5.11E+00	9.22E-01
CRUK0026_SU_T1-R1	2.05E+00	7.69E-01	1.72E+00	9.33E-01	5.63E-01
CRUK0026_SU_T1-R2	3.96E+00	1.19E+00	4.14E+00	1.86E+00	1.75E+00
CRUK0027_SU_T1-R1	4.24E-01	0.00E+00	3.75E-01	5.24E-01	4.72E-01
CRUK0027_SU_T1-R2	1.26E-01	1.39E+00	5.30E+00	4.83E+00	8.23E-01
CRUK0027_SU_T1-R3	6.02E-01	2.88E-01	4.20E-01	4.67E-01	2.27E-01
CRUK0028_SU_T1-R1	2.07E+00	6.45E-01	2.32E+00	9.80E-01	9.70E-01
CRUK0028_SU_T1-R2	2.30E+00	9.45E-01	2.08E+00	1.07E+00	6.42E-01
CRUK0029_SU_T1-R1	1.35E+00	8.19E-01	1.06E+00	4.45E-01	6.71E-01
CRUK0029_SU_T1-R2	2.09E+00	1.14E+00	2.11E+00	2.03E+00	8.92E-01
CRUK0029_SU_T1-R4	1.03E+01	2.31E+00	8.85E+00	4.70E+00	1.13E+00
CRUK0029_SU_T1-R5	2.68E+00	8.87E-01	2.76E+00	7.80E-01	4.00E-01
CRUK0029_SU_T1-R6	9.16E+00	1.99E+00	8.14E+00	4.60E+00	1.05E+00
CRUK0029_SU_T1-R7	1.60E+00	9.56E-01	1.55E+00	1.19E+00	1.31E+00
CRUK0029_SU_T1-R8	5.72E+00	1.44E+00	5.16E+00	1.67E+00	8.36E-01
CRUK0030_SU_T2-R1	4.54E-01	1.65E+00	9.61E-01	3.40E+00	1.73E+00
CRUK0030_SU_T2-R2	2.57E+00	7.34E-01	2.24E+00	1.03E+00	7.86E-01
CRUK0030_SU_T2-R3	2.98E+00	7.26E-01	2.78E+00	2.39E+00	1.78E+00
CRUK0031_SU_T1-R1	1.74E+01	3.79E+00	1.54E+01	7.66E+00	1.24E+00
CRUK0031_SU_T1-R2	9.58E+00	3.12E+00	8.19E+00	4.85E+00	1.19E+00
CRUK0031_SU_T1-R3	1.17E+01	3.58E+00	1.32E+01	5.66E+00	2.67E+00
CRUK0032_SU_T1-R1	1.35E+00	8.59E-01	1.01E+00	3.06E+00	1.93E+00
CRUK0032_SU_T1-R2	3.37E+00	1.96E+00	2.74E+00	2.54E+00	9.53E-01
CRUK0032_SU_T1-R3	2.64E+00	1.15E+00	2.48E+00	1.34E+00	1.76E+00
CRUK0032_SU_T1-R4	2.83E+00	2.28E+00	2.42E+00	1.79E+00	1.12E+00
CRUK0033_SU_T1-R1	3.60E+00	1.31E+00	3.36E+00	2.25E+00	9.54E-01
CRUK0033_SU_T1-R2	3.31E+00	1.42E+00	3.38E+00	2.35E+00	1.78E+00
CRUK0034_SU_T1-R1	2.06E+00	6.47E-01	2.48E+00	9.15E-01	1.25E+00
CRUK0034_SU_T1-R2	3.10E+00	2.30E+00	2.59E+00	1.95E+00	1.07E+00
CRUK0034_SU_T1-R3	5.56E+00	1.63E+00	5.20E+00	2.20E+00	5.96E-01
CRUK0035_SU_T1-R1	1.59E+00	1.46E+00	2.84E+00	1.44E+00	9.80E-01
CRUK0035_SU_T1-R2	1.22E+00	6.77E-01	2.31E+00	1.53E+00	1.28E+00
CRUK0035_SU_T1-R3	3.46E+00	8.43E-01	3.16E+00	1.66E+00	1.25E-01
CRUK0036_SU_T1-R1	1.85E+00	4.09E-01	1.82E+00	9.87E-01	3.05E-01
CRUK0036_SU_T1-R2	4.65E+00	1.88E+00	4.44E+00	2.21E+00	9.69E-01
CRUK0036_SU_T1-R3	3.21E+00	9.16E-01	3.23E+00	1.23E+00	2.98E-01
CRUK0036_SU_T1-R4	2.86E+00	9.36E-01	2.71E+00	2.11E+00	2.87E-01
CRUK0037_SU_T1-R1	6.25E+00	2.14E+00	5.17E+00	3.90E+00	8.33E-01
CRUK0037_SU_T1-R2	2.87E+00	1.62E+00	2.92E+00	1.68E+00	8.85E-01
