Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0041_SU_T1-R1	473	82	35	88	38
CRUK0041_SU_T1-R2	397	63	39	40	116
CRUK0041_SU_T1-R3	852	95	63	42	37
CRUK0041_SU_T1-R4	155	24	0	7	70
CRUK0042_SU_T1-R1	62	23	6	4	15
CRUK0042_SU_T1-R2	27	0	0	8	3
CRUK0043_SU_T1-R1	230	17	14	94	144
CRUK0043_SU_T1-R2	268	39	10	224	149
CRUK0044_SU_T1-R1	0	131	0	17	25
CRUK0044_SU_T1-R2	13	0	0	1	0
CRUK0045_SU_T1-R1	28	4	6	10	49
CRUK0045_SU_T1-R2	48	0	6	2	80
CRUK0045_SU_T1-R3	55	4	8	31	13
CRUK0046_SU_T1-R1	446	48	0	45	13
CRUK0046_SU_T1-R2	106	68	8	33	25
CRUK0046_SU_T1-R3	218	56	19	58	28
CRUK0046_SU_T1-R4	213	47	10	75	30
CRUK0047_SU_T1-R1	167	6	32	30	0
CRUK0047_SU_T1-R2	382	26	32	74	84
CRUK0048_SU_T1-R1	25	0	2	1	244
CRUK0048_SU_T1-R2	912	54	44	58	13
CRUK0048_SU_T1-R3	440	54	18	32	297
CRUK0049_SU_T1-R1	34	300	0	253	113
CRUK0049_SU_T1-R2	123	289	0	240	9
CRUK0050_SU_T1-R1	140	33	10	7	31
CRUK0050_SU_T1-R2	133	45	22	15	36
CRUK0050_SU_T1-R3	90	42	0	33	29
CRUK0050_SU_T1-R4	43	4	0	4	2
CRUK0050_SU_T1-R5	117	29	16	34	42
CRUK0051_SU_T1-R2	101	144	66	23	35
CRUK0051_SU_T1-R3	485	100	115	49	29
CRUK0051_SU_T1-R4	42	152	70	0	45
CRUK0052_SU_T1-R1	144	317	136	77	35
CRUK0052_SU_T1-R2	40	94	39	61	26
CRUK0052_SU_T1-R3	15	0	0	62	115
CRUK0052_SU_T1-R4	4	257	144	61	5
CRUK0053_SU_T1-R1	833	701	92	53	73
CRUK0053_SU_T1-R2	1567	498	238	101	105
CRUK0054_SU_T1-R1	96	69	12	69	30
CRUK0054_SU_T1-R2	329	39	19	16	30
CRUK0055_SU_T1-R1	36	6	0	23	87
CRUK0055_SU_T1-R2	304	41	0	191	170
CRUK0055_SU_T1-R3	6	196	0	115	21
CRUK0055_SU_T1-R4	50	259	40	0	0
CRUK0056_SU_T1-R1	95	18	0	78	86
CRUK0056_SU_T1-R2	236	16	36	25	10
CRUK0056_SU_T1-R3	145	107	44	92	16
