Samples,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0003_SU_T1-R6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.9286,0.0,0.0,0.0,0.0,0.0,0.4364,0.0,0.0,0.6497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829,0.0,0.0,0.0,0.0,0.0,0.0,0.3878,0.0,0.0,0.0,0.0,0.0
CRUK0004_SU_T1-R1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0004_SU_T1-R2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0004_SU_T1-R3,0.0,0.0,0.5106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0004_SU_T1-R4,0.0,0.0,0.5112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0005_SU_T1-R1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.3981,0.0,0.0,0.0,0.0,0.0,0.0,0.7308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0005_SU_T1-R2,0.0,0.0,0.0,0.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4851,0.0,0.0,0.0,0.0,0.0,0.3719,0.0,0.7131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0005_SU_T1-R3,0.0,0.0,0.3859,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0005_SU_T1-R4,0.0,0.0,0.0,0.0,0.0,0.9228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUK0006_SU_T1-R1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
