NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	254.367	58.992	38.202	51.349	0.359	0.728	2000.0
2	254.418	58.898	38.286	51.661	0.36	0.723	6000.0
3	253.431	59.046	37.897	51.466	0.361	0.725	5000.0
4	255.483	59.41	38.532	51.79	0.364	0.724	10500.0
5	254.013	59.405	38.197	51.61	0.363	0.726	3000.0
6	255.107	59.201	38.315	51.698	0.361	0.723	3000.0
7	254.505	59.31	38.181	51.617	0.363	0.726	2500.0
8	253.551	59.253	38.186	51.773	0.363	0.722	4500.0
9	253.428	59.164	38.088	51.555	0.361	0.724	3500.0
10	256.874	59.706	38.45	51.762	0.365	0.724	4000.0
11	253.349	59.11	37.993	51.375	0.362	0.728	5000.0
12	252.976	58.752	38.058	51.238	0.356	0.731	5000.0
13	255.407	59.023	38.29	51.584	0.361	0.723	4000.0
14	257.485	59.915	38.822	52.042	0.369	0.722	5000.0
15	255.66	59.465	38.452	51.679	0.363	0.725	4000.0
16	254.814	59.361	38.288	51.726	0.362	0.723	5500.0
17	253.697	59.106	38.311	51.872	0.359	0.722	6000.0
18	254.052	59.034	38.145	51.604	0.36	0.724	13500.0
19	255.726	59.709	38.35	51.724	0.367	0.724	5000.0
20	253.538	59.134	38.13	51.446	0.36	0.728	4500.0
21	253.172	58.936	37.821	51.32	0.36	0.725	5000.0
22	253.772	58.987	38.194	51.538	0.359	0.727	7000.0
23	253.496	59.066	38.182	51.483	0.362	0.727	6500.0
24	253.521	59.257	38.107	51.671	0.363	0.723	3000.0
25	254.809	59.235	38.354	51.732	0.362	0.723	4000.0
26	254.549	59.185	38.087	51.51	0.361	0.725	7500.0
27	252.316	58.839	37.679	51.101	0.358	0.729	6000.0
28	254.407	59.443	38.471	51.832	0.361	0.724	3500.0
29	254.908	59.476	38.703	51.973	0.368	0.722	6000.0
30	253.489	59.122	38.131	51.665	0.361	0.724	9500.0
31	256.502	59.47	38.466	51.86	0.365	0.723	7500.0
32	254.523	59.034	38.056	51.52	0.362	0.723	6000.0
33	254.156	59.026	38.152	51.488	0.361	0.726	6500.0
34	254.512	59.346	38.103	51.738	0.362	0.722	3500.0
35	254.477	59.185	38.265	51.564	0.359	0.726	2500.0
36	255.366	59.245	38.462	51.722	0.361	0.724	4000.0
37	254.379	59.013	38.138	51.44	0.359	0.727	3500.0
38	253.753	59.028	38.127	51.483	0.359	0.725	6500.0
39	254.532	59.397	38.339	51.718	0.367	0.724	5500.0
40	253.888	59.218	38.158	51.65	0.363	0.724	5000.0
41	254.384	59.402	38.111	51.569	0.362	0.726	5000.0
42	254.373	59.249	38.144	51.51	0.363	0.726	2000.0
43	254.808	59.191	38.437	51.658	0.363	0.726	4000.0
44	253.91	59.21	38.035	51.503	0.362	0.725	0.0
45	253.024	59.104	38.049	51.458	0.361	0.728	3000.0
46	254.379	59.29	38.275	51.65	0.362	0.724	8500.0
47	254.245	59.127	38.124	51.581	0.361	0.724	7000.0
48	254.911	59.356	38.38	51.807	0.363	0.721	11000.0
49	255.33	59.092	38.341	51.712	0.363	0.722	3000.0
50	253.668	59.104	38.104	51.462	0.358	0.727	2000.0
51	253.154	59.077	38.019	51.46	0.364	0.727	8000.0
52	254.57	59.187	38.13	51.405	0.361	0.728	4500.0
53	256.043	59.545	38.466	51.677	0.365	0.726	4000.0
54	254.609	59.178	38.229	51.658	0.362	0.723	6500.0
55	253.986	59.129	37.883	51.34	0.363	0.726	4000.0
56	254.18	58.895	38.004	51.359	0.359	0.727	6500.0
57	253.584	59.318	38.137	51.583	0.365	0.723	4000.0
58	253.276	59.188	38.126	51.577	0.362	0.725	5500.0
59	253.841	59.349	38.137	51.692	0.364	0.723	3500.0
60	256.142	59.71	38.402	51.87	0.366	0.722	5000.0
61	252.504	59.145	37.937	51.663	0.361	0.722	4000.0
62	254.796	59.436	38.393	51.677	0.366	0.725	3000.0
63	254.398	59.094	38.162	51.505	0.361	0.727	4500.0
64	254.363	59.197	38.333	51.702	0.363	0.725	2000.0
65	252.361	59.177	38.102	51.602	0.364	0.723	4500.0
66	253.187	58.903	38.093	51.369	0.361	0.727	16000.0
67	255.415	59.669	38.457	51.938	0.368	0.722	4500.0
68	253.188	59.155	38.151	51.508	0.363	0.726	5500.0
69	254.552	59.133	38.123	51.486	0.361	0.726	6500.0
70	254.867	59.514	38.516	51.867	0.367	0.722	7500.0
71	253.631	59.272	38.223	51.684	0.365	0.722	3500.0
72	256.203	59.377	38.525	51.858	0.363	0.72	4500.0
73	253.825	59.146	37.996	51.39	0.362	0.728	4500.0
74	254.938	59.366	38.417	51.727	0.361	0.725	10000.0
75	254.479	59.381	38.148	51.588	0.363	0.725	4500.0
76	254.153	58.986	38.186	51.434	0.358	0.726	5500.0
77	252.748	58.987	38.034	51.476	0.363	0.725	2500.0
78	254.754	59.333	38.278	51.685	0.364	0.722	3000.0
79	255.582	59.454	38.417	51.795	0.365	0.721	4500.0
80	254.927	59.142	38.232	51.651	0.361	0.723	9500.0
81	254.369	59.162	38.268	51.533	0.361	0.727	6500.0
82	255.55	59.445	38.361	51.785	0.366	0.722	3500.0
83	255.404	59.236	38.256	51.597	0.363	0.724	3500.0
84	254.295	59.044	38.215	51.517	0.361	0.724	11500.0
85	253.385	59.159	38.129	51.663	0.363	0.722	3500.0
86	254.37	58.985	38.066	51.575	0.361	0.722	4000.0
87	253.185	59.196	38.076	51.546	0.363	0.724	5000.0
88	254.249	59.175	38.167	51.643	0.36	0.724	3000.0
89	254.465	58.928	37.993	51.339	0.356	0.728	3000.0
90	253.976	59.101	38.297	51.637	0.361	0.723	10500.0
91	254.373	58.935	38.124	51.343	0.357	0.729	3500.0
92	253.059	59.179	37.879	51.394	0.363	0.726	4500.0
93	252.954	58.744	37.719	51.209	0.356	0.729	9500.0
94	254.024	59.146	38.333	51.708	0.36	0.724	3000.0
95	252.978	58.828	38.117	51.513	0.358	0.726	6500.0
96	255.956	59.369	38.364	51.823	0.364	0.721	2500.0
97	252.694	59.18	37.906	51.518	0.364	0.726	5000.0
98	253.53	59.127	38.058	51.465	0.36	0.727	4000.0
99	254.416	58.969	38.261	51.568	0.359	0.726	3500.0
