Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.778	199.551	66.517%	36.642	63.708%	0.39917	0.688
CRUK0001_SU_T1-R2	239	0.788	152.67	63.879%	25.884	61.786%	0.35701	0.657
CRUK0001_SU_T1-R3	260	0.793	172.725	66.433%	26.576	61.002%	0.3827	0.64
CRUK0002_SU_T1-R1	350	0.831	206.351	58.957%	35.415	56.593%	0.2735	0.752
CRUK0002_SU_T1-R2	355	0.829	194.624	54.824%	34.549	56.456%	0.26198	0.731
CRUK0002_SU_T1-R3	213	0.793	173.059	81.248%	27.661	62.4%	0.50033	0.738
CRUK0003_SU_T1-R1	662	0.968	170.786	25.798%	25.28	25.26%	0.06759	0.94
CRUK0003_SU_T1-R2	319	0.757	219.084	68.678%	39.912	65.784%	0.39776	0.644
CRUK0003_SU_T1-R3	336	0.748	237.698	70.743%	45.004	67.133%	0.4226	0.652
CRUK0003_SU_T1-R4	462	0.949	163.899	35.476%	21.5	31.502%	0.12745	0.9
CRUK0003_SU_T1-R6	304	0.785	197.601	65.0%	35.2	62.48%	0.35486	0.68
CRUK0004_SU_T1-R1	313	0.815	192.174	61.397%	29.892	58.013%	0.29818	0.675
CRUK0004_SU_T1-R2	107	0.865	70.17	65.579%	9.087	50.406%	0.41071	0.78
CRUK0004_SU_T1-R3	299	0.918	125.094	41.837%	17.355	39.576%	0.16955	0.835
CRUK0004_SU_T1-R4	186	0.868	104.49	56.177%	14.082	49.725%	0.31569	0.743
CRUK0005_SU_T1-R1	212	0.872	110.933	52.327%	15.648	48.996%	0.2633	0.746
CRUK0005_SU_T1-R2	372	0.899	156.513	42.073%	21.953	44.516%	0.15462	0.745
CRUK0005_SU_T1-R3	290	0.82	159.817	55.109%	23.124	58.659%	0.24995	0.562
CRUK0005_SU_T1-R4	376	0.912	153.498	40.824%	21.055	41.229%	0.14128	0.79
CRUK0006_SU_T1-R1	406	0.769	249.235	61.388%	43.907	63.896%	0.2965	0.599
CRUK0006_SU_T1-R2	453	0.794	243.474	53.747%	44.675	60.789%	0.26277	0.624
CRUK0007_SU_T1-R1	84	0.818	67.997	80.949%	9.219	58.074%	0.58428	0.738
CRUK0007_SU_T1-R2	252	0.808	146.363	58.081%	24.762	59.024%	0.32121	0.668
CRUK0008_SU_T1-R1	283	0.867	155.112	54.81%	20.957	50.111%	0.33836	0.728
CRUK0008_SU_T1-R2	348	0.859	171.068	49.157%	26.075	51.276%	0.25194	0.701
CRUK0009_SU_T1-R1	4360	0.994	485.177	11.128%	73.667	11.025%	0.01015	0.989
CRUK0009_SU_T1-R2	1726	0.989	282.032	16.34%	38.778	14.933%	0.02683	0.979
CRUK0009_SU_T1-R3	593	0.941	200.252	33.769%	28.299	33.987%	0.11021	0.871
CRUK0009_SU_T1-R4	1616	0.986	279.252	17.28%	39.92	16.914%	0.03119	0.972
CRUK0010_SU_T1-R1	2607	0.988	399.678	15.331%	57.827	15.947%	0.02235	0.976
CRUK0010_SU_T1-R2	1064	0.951	304.841	28.65%	47.699	31.01%	0.07284	0.901
CRUK0011_SU_T1-R1	283	0.809	169.748	59.982%	23.524	60.239%	0.30067	0.547
CRUK0011_SU_T1-R2	318	0.851	152.889	48.078%	23.403	53.41%	0.21351	0.647
CRUK0011_SU_T1-R3	429	0.959	126.293	29.439%	17.78	28.726%	0.09439	0.917
CRUK0012_SU_T1-R1	388	0.944	150.848	38.878%	19.991	32.91%	0.15439	0.901
CRUK0012_SU_T1-R2	131	0.842	81.946	62.554%	11.629	54.162%	0.40037	0.726
CRUK0013_SU_T1-R1	814	0.962	212.184	26.067%	32.741	27.376%	0.06333	0.927
CRUK0013_SU_T1-R2	594	0.959	188.853	31.793%	25.776	29.0%	0.08882	0.925
CRUK0013_SU_T1-R3	2517	0.972	576.792	22.916%	97.909	24.009%	0.04001	0.954
CRUK0014_SU_T1-R1	227	0.898	103.953	45.794%	14.479	44.243%	0.21108	0.784
CRUK0014_SU_T1-R2	152	0.774	112.493	74.009%	19.843	64.583%	0.49471	0.705
CRUK0015_SU_T1-R1	417	0.939	144.82	34.729%	20.03	34.366%	0.13545	0.866
CRUK0015_SU_T1-R2	212	0.872	116.612	55.006%	15.86	49.133%	0.28572	0.755
