Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0001_SU_T1-R1	300	0.928	136.242	45.414%	21.441	37.279%	0.22629	0.898
CRUK0001_SU_T1-R2	239	0.909	122.59	51.293%	17.57	41.94%	0.26245	0.86
CRUK0001_SU_T1-R3	260	0.927	123.412	47.466%	16.308	37.433%	0.26411	0.882
CRUK0002_SU_T1-R1	350	0.852	191.451	54.7%	33.111	52.912%	0.24658	0.778
CRUK0002_SU_T1-R2	355	0.845	192.601	54.254%	33.0	53.925%	0.24609	0.755
CRUK0002_SU_T1-R3	213	0.922	118.228	55.506%	17.209	38.822%	0.30317	0.896
CRUK0003_SU_T1-R1	662	0.97	164.652	24.872%	24.205	24.186%	0.06409	0.945
CRUK0003_SU_T1-R2	319	0.954	133.253	41.772%	18.213	30.019%	0.19414	0.935
CRUK0003_SU_T1-R3	336	0.954	141.13	42.003%	20.201	30.134%	0.2296	0.937
CRUK0003_SU_T1-R4	462	0.951	156.032	33.773%	21.18	31.033%	0.12375	0.904
CRUK0003_SU_T1-R6	304	0.957	130.569	42.95%	16.361	29.041%	0.22373	0.938
CRUK0004_SU_T1-R1	313	0.932	137.067	43.791%	19.056	36.983%	0.18557	0.889
CRUK0004_SU_T1-R2	107	0.883	66.263	61.928%	8.509	47.199%	0.39952	0.811
CRUK0004_SU_T1-R3	299	0.927	116.879	39.09%	16.454	37.522%	0.15954	0.854
CRUK0004_SU_T1-R4	186	0.881	100.427	53.993%	13.421	47.391%	0.29912	0.77
CRUK0005_SU_T1-R1	212	0.89	104.776	49.423%	14.69	45.996%	0.23997	0.795
CRUK0005_SU_T1-R2	372	0.936	131.145	35.254%	17.343	35.168%	0.12126	0.835
CRUK0005_SU_T1-R3	290	0.91	121.781	41.993%	16.348	41.47%	0.17214	0.779
CRUK0005_SU_T1-R4	376	0.942	126.695	33.695%	17.108	33.5%	0.10633	0.863
CRUK0006_SU_T1-R1	406	0.924	161.481	39.774%	26.489	38.548%	0.15005	0.879
CRUK0006_SU_T1-R2	453	0.932	164.88	36.397%	26.618	36.219%	0.13246	0.886
CRUK0007_SU_T1-R1	84	0.83	63.902	76.074%	8.903	56.084%	0.54475	0.752
CRUK0007_SU_T1-R2	252	0.836	138.618	55.007%	23.07	54.991%	0.29217	0.722
CRUK0008_SU_T1-R1	283	0.88	147.635	52.168%	20.124	48.119%	0.31559	0.76
CRUK0008_SU_T1-R2	348	0.886	158.705	45.605%	23.733	46.67%	0.22671	0.768
CRUK0009_SU_T1-R1	4360	0.994	487.369	11.178%	73.91	11.061%	0.01035	0.989
CRUK0009_SU_T1-R2	1726	0.989	282.61	16.374%	38.735	14.916%	0.02682	0.979
CRUK0009_SU_T1-R3	593	0.955	184.7	31.147%	24.749	29.723%	0.09133	0.902
