NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	228.955	52.62	32.881	44.277	0.303	0.798	6000.0
2	229.288	52.691	32.778	44.475	0.303	0.793	5000.0
3	229.39	52.914	32.77	44.544	0.307	0.793	8000.0
4	230.012	53.04	33.194	44.716	0.307	0.795	6500.0
5	228.47	52.886	32.789	44.459	0.306	0.796	10000.0
6	230.658	53.037	33.182	44.832	0.305	0.793	11500.0
7	229.379	52.904	32.892	44.541	0.307	0.796	12000.0
8	228.534	52.959	32.777	44.647	0.306	0.794	14000.0
9	228.272	52.784	32.792	44.594	0.304	0.793	11000.0
10	230.89	53.259	33.005	44.639	0.308	0.794	7500.0
11	227.925	52.803	32.789	44.536	0.308	0.796	8500.0
12	228.784	52.677	32.885	44.441	0.302	0.797	5000.0
13	230.558	52.716	33.026	44.635	0.304	0.793	10000.0
14	231.71	53.576	33.353	45.007	0.312	0.791	9000.0
15	231.453	53.245	33.188	44.628	0.308	0.794	5500.0
16	229.414	53.026	32.994	44.784	0.307	0.792	5000.0
17	229.651	52.986	33.179	44.99	0.304	0.79	3500.0
18	229.25	52.951	32.876	44.76	0.307	0.792	8500.0
19	229.974	53.289	33.033	44.812	0.31	0.793	9000.0
20	228.162	52.662	32.854	44.489	0.305	0.795	15000.0
21	228.793	52.864	32.695	44.641	0.305	0.792	5500.0
22	228.452	52.486	32.8	44.283	0.302	0.796	8500.0
23	229.129	52.917	32.904	44.612	0.306	0.795	10000.0
24	228.958	52.943	32.852	44.573	0.307	0.793	5500.0
25	229.234	52.747	33.054	44.705	0.305	0.791	9000.0
26	229.89	52.972	32.981	44.656	0.306	0.794	14500.0
27	227.217	52.57	32.515	44.327	0.301	0.797	7000.0
28	228.809	52.886	32.978	44.529	0.304	0.795	11500.0
29	230.302	53.169	33.465	44.949	0.311	0.791	10000.0
30	228.32	52.87	32.724	44.464	0.306	0.795	9000.0
31	231.864	53.106	33.304	44.858	0.308	0.791	6000.0
32	230.407	53.078	33.032	44.921	0.307	0.79	7000.0
33	229.224	52.957	32.971	44.673	0.306	0.794	10000.0
34	229.222	53.024	32.805	44.728	0.306	0.793	8000.0
35	229.143	52.827	33.008	44.631	0.303	0.794	8500.0
36	229.765	52.803	32.962	44.411	0.305	0.795	11000.0
37	230.074	52.835	32.881	44.481	0.303	0.796	10500.0
38	228.066	52.56	32.72	44.324	0.303	0.795	6500.0
39	229.336	52.935	33.094	44.69	0.31	0.794	14500.0
40	228.98	52.923	32.961	44.771	0.308	0.791	6500.0
41	229.673	53.18	32.917	44.614	0.307	0.795	11500.0
42	229.391	52.969	32.899	44.609	0.307	0.794	5500.0
43	229.52	52.696	33.114	44.646	0.304	0.795	9500.0
44	229.003	52.935	32.81	44.503	0.306	0.795	7000.0
45	228.769	52.994	32.847	44.572	0.308	0.795	4000.0
46	228.868	52.828	32.908	44.566	0.306	0.796	8500.0
47	230.521	52.974	33.094	44.786	0.307	0.791	10500.0
48	229.438	52.985	32.993	44.726	0.306	0.793	7000.0
49	230.996	52.906	33.138	44.775	0.307	0.791	17000.0
50	228.972	53.021	32.906	44.638	0.305	0.795	7500.0
51	228.178	52.887	32.714	44.497	0.309	0.794	8000.0
52	229.35	52.909	32.816	44.456	0.306	0.796	5500.0
53	230.896	53.044	33.2	44.677	0.308	0.795	7000.0
54	229.279	52.666	33.039	44.526	0.305	0.795	13000.0
55	229.341	53.095	32.81	44.675	0.309	0.794	10000.0
56	229.065	52.654	32.709	44.369	0.304	0.796	6000.0
57	228.807	52.922	32.944	44.638	0.31	0.793	7500.0
58	228.746	53.006	32.977	44.747	0.307	0.794	6000.0
59	228.433	52.805	32.742	44.414	0.306	0.795	11000.0
60	231.153	53.372	33.256	44.981	0.31	0.792	12500.0
61	227.939	52.995	32.817	44.85	0.307	0.79	9000.0
62	229.373	52.917	33.077	44.638	0.308	0.794	8500.0
63	228.993	52.844	32.789	44.451	0.306	0.795	8500.0
64	229.465	52.829	33.051	44.637	0.307	0.794	12000.0
65	227.937	52.975	32.888	44.756	0.309	0.791	8000.0
66	226.754	52.157	32.648	44.14	0.302	0.798	7500.0
67	231.001	53.29	33.196	44.854	0.31	0.792	6500.0
68	228.131	52.927	32.969	44.724	0.307	0.794	13000.0
69	230.086	52.988	32.938	44.566	0.307	0.796	13000.0
70	229.256	52.928	33.079	44.576	0.309	0.793	7000.0
71	229.081	53.098	33.005	44.729	0.309	0.791	13000.0
72	230.652	52.886	33.259	44.723	0.306	0.792	10000.0
73	228.138	52.811	32.64	44.379	0.307	0.796	5500.0
74	228.701	52.893	32.873	44.528	0.306	0.796	5500.0
75	228.998	52.934	32.889	44.565	0.307	0.794	6500.0
76	227.94	52.359	32.659	44.039	0.3	0.799	9000.0
77	228.737	52.832	32.874	44.596	0.308	0.794	8000.0
78	229.586	52.974	33.121	44.795	0.307	0.792	8000.0
